tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
CF-1a	CF	1.1					  137.5	    0.0	    0.0	   90.0	   -2.0	This study	SO-CMD-NORTH
CF-2a	CF	1.5					   22.5	    0.0	    0.0	   90.0	   -7.0	This study	SO-CMD-NORTH
CF-3a	CF	1.8					  125.5	    0.0	    0.0	   90.0	   -4.0	This study	SO-CMD-NORTH
CF-4a	CF	2.2					  -37.5	    0.0	    0.0	   90.0	   -2.0	This study	SO-CMD-NORTH
CF-5a	CF	2.6					   10.5	    0.0	    0.0	   90.0	   -4.0	This study	SO-CMD-NORTH
CF-6a	CF	3.3					  -15.5	    0.0	    0.0	   90.0	   -3.0	This study	SO-CMD-NORTH
CF-7a	CF	3.7					   -5.5	    0.0	    0.0	   90.0	   -8.0	This study	SO-CMD-NORTH
CF-8a	CF	4.1					   14.5	    0.0	    0.0	   90.0	   -4.0	This study	SO-CMD-NORTH
CF-9a	CF	5.4					   94.5	    0.0	    0.0	   90.0	  -44.0	This study	SO-CMD-NORTH
CF-10a	CF	5.8					  107.5	    0.0	    0.0	   90.0	  -80.0	This study	SO-CMD-NORTH
CF-11a	CF	6.2					   98.5	    0.0	    0.0	   90.0	  -65.0	This study	SO-CMD-NORTH
CF-12a	CF	6.7					  102.5	    0.0	    0.0	   90.0	  -67.0	This study	SO-CMD-NORTH
CF-13a	CF	7.1					   94.5	    0.0	    0.0	   90.0	  -56.0	This study	SO-CMD-NORTH
CF-14a	CF	7.6					   90.5	    0.0	    0.0	   90.0	  -49.0	This study	SO-CMD-NORTH
CF-15a	CF	8					   95.5	    0.0	    0.0	   90.0	  -79.0	This study	SO-CMD-NORTH
CF-16a	CF	8.2					   12.5	    0.0	    0.0	   90.0	  -84.0	This study	SO-CMD-NORTH
CF-17a	CF	8.7					  108.5	    0.0	    0.0	   90.0	  -82.0	This study	SO-CMD-NORTH
CF-18a	CF	9.1					  102.5	    0.0	    0.0	   90.0	  -92.0	This study	SO-CMD-NORTH
CF-19a	CF	10.7					  -38.2	    0.0	    0.0	   90.0	   -5.0	This study	SO-CMD-NORTH
CF-20a	CF	11.1					  -32.5	    0.0	    0.0	   90.0	   -9.0	This study	SO-CMD-NORTH
CF-21a	CF	11.3					  -68.0	    0.0	    0.0	   90.0	   -5.0	This study	SO-CMD-NORTH
CF-22a	CF	11.4					  -17.5	    0.0	    0.0	   90.0	   -8.0	This study	SO-CMD-NORTH
CF-23a	CF	11.8					  -49.5	    0.0	    0.0	   90.0	  -10.0	This study	SO-CMD-NORTH
CF-24a	CF	13					  -33.5	    0.0	    0.0	   90.0	  -16.0	This study	SO-CMD-NORTH
CF-25a	CF	15					  -86.0	    0.0	    0.0	   90.0	   -5.0	This study	SO-CMD-NORTH
CF-26a	CF	15.5					  -41.3	    0.0	    0.0	   90.0	   -9.0	This study	SO-CMD-NORTH
CF-27a	CF	16					  195.5	    0.0	    0.0	   90.0	  -83.0	This study	SO-CMD-NORTH
CF-28a	CF	16.4					  226.1	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
CF-29a	CF	17.2					  -15.5	    0.0	    0.0	   90.0	   -8.0	This study	SO-CMD-NORTH
CF-30a	CF	17.8					   11.5	    0.0	    0.0	   90.0	  -18.0	This study	SO-CMD-NORTH
CF-31a	CF	18					  -72.5	    0.0	    0.0	   90.0	   -2.0	This study	SO-CMD-NORTH
CF-33a	CF	18.6					  174.5	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
CF-35a	CF	19.2					  185.5	    0.0	    0.0	   90.0	  -47.0	This study	SO-CMD-NORTH
CF-36a	CF	19.6					  185.5	    0.0	    0.0	   90.0	  -75.0	This study	SO-CMD-NORTH
CF-37a	CF	20					  102.5	    0.0	    0.0	   90.0	  -62.0	This study	SO-CMD-NORTH
CF-38a	CF	20.2					  176.5	    0.0	    0.0	   90.0	  -60.0	This study	SO-CMD-NORTH
CF-39a	CF	20.3					  182.5	    0.0	    0.0	   90.0	  -72.0	This study	SO-CMD-NORTH
CF-40a	CF	20.5					  182.5	    0.0	    0.0	   90.0	  -88.0	This study	SO-CMD-NORTH
CF-41a	CF	20.6					  179.5	    0.0	    0.0	   90.0	  -73.0	This study	SO-CMD-NORTH
CF-43a	CF	20.9					  185.5	    0.0	    0.0	   90.0	  -57.0	This study	SO-CMD-NORTH
CF-44a	CF	21.2					  179.5	    0.0	    0.0	   90.0	  -57.0	This study	SO-CMD-NORTH
CF-45a	CF	21.7					  177.5	    0.0	    0.0	   90.0	  -50.0	This study	SO-CMD-NORTH
CF-46a	CF	22.2					  182.5	    0.0	    0.0	   90.0	  -68.0	This study	SO-CMD-NORTH
