tab	specimens																											
specimen	primary_grain_size	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site	strat_level	grain_size
CF-100a	1		CF-100													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	47	silt
CF-100a	1	CF-100a_LP-DIR-T	CF-100		ht	292.9	26	2	9	0	16.4	10	953	923	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	47	silt
CF-100a	1	CF-100a_LP-DIR-T	CF-100		mt	281	41.6	2	10	0	8.1	4.5	873	673	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	47	silt
CF-100a	1	CF-100a_LP-DIR-T	CF-100		ht	288.4	31.6	2	9	100	16.4	10	953	923	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	47	silt
CF-100a	1	CF-100a_LP-DIR-T	CF-100		mt	272.2	45.1	2	10	100	8.1	4.5	873	673	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	47	silt
CF-100a	1	CF-100a_LP-DIR-T	CF-100		mt	242	72	2	10	-1	8.1	4.5	873	673	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	47	silt
CF-100a	1	CF-100a_LP-DIR-T	CF-100		ht	315	77.8	2	9	-1	16.4	10	953	923	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	47	silt
CF-101a	1	CF-101a_LP-DIR-T	CF-101		lt	14.9	72.5	2	3	100	34.5	14.5	573	373	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	47.5	silt
CF-101a	1		CF-101													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	47.5	silt
CF-101a	1	CF-101a_LP-DIR-T	CF-101		lt	151	22.2	2	3	-1	34.5	14.5	573	373	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	47.5	silt
CF-101a	1	CF-101a_LP-DIR-T	CF-101		mt	125.7	66.5	2	11	-1	5.6	12.4	903	723	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	47.5	silt
CF-101a	1	CF-101a_LP-DIR-T	CF-101		lt	5	63.3	2	3	0	34.5	14.5	573	373	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	47.5	silt
CF-101a	1	CF-101a_LP-DIR-T	CF-101		mt	298.8	36.7	2	11	0	5.6	12.4	903	723	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	47.5	silt
CF-101a	1	CF-101a_LP-DIR-T	CF-101		mt	292.3	43	2	11	100	5.6	12.4	903	723	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	47.5	silt
CF-102a	1	CF-102a_LP-DIR-T	CF-102		lt	35.1	79.1	3	3	100	35	3.5	473	273	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	47.8	silt
CF-102a	1	CF-102a_LP-DIR-T	CF-102		ht	259.5	30	3	6	100	0	19.5	955	945	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	47.8	silt
CF-102a	1	CF-102a_LP-DIR-T	CF-102		lt	12.3	71	3	3	0	35	3.5	473	273	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	47.8	silt
CF-102a	1	CF-102a_LP-DIR-T	CF-102		ht	265.1	29	3	6	0	0	19.5	955	945	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF	47.8	silt
