tab	specimens																									
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site	strat_level
CF-100a	CF-100a_LP-DIR-T	CF-100		ht	288.4	31.6	2	9	100	16.4	10	953	923	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	47
CF-102a	CF-102a_LP-DIR-T	CF-102		ht	259.5	30	3	6	100	0	19.5	955	945	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	47.8
CF-103a	CF-103a_LP-DIR-T	CF-103		ht	279.2	24.1	3	9	100	0	13.2	957	937	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	48.4
CF-104a	CF-104a_LP-DIR-T	CF-104		ht	310	34.8	2	7	100	0	10.5	953	913	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	48.9
CF-106a	CF-106a_LP-DIR-T	CF-106		ht	295.9	28.4	2	10	100	0	8.9	960	937	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	49.3
CF-107a	CF-107a_LP-DIR-T	CF-107		ht	276.5	43.3	3	10	100	0	9.4	960	937	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	49.8
CF-108a	CF-108a_LP-DIR-T	CF-108		ht	278.4	31.3	2	9	100	0	2.5	957	937	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	50.4
CF-109a	CF-109a_LP-DIR-T	CF-109		ht	277.1	29.2	3	10	100	0	7.1	955	923	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	50.8
CF-110a	CF-110a_LP-DIR-T	CF-110		ht	293.1	23.3	2	8	100	0	6.5	960	945	K		hargrave 2021-02-13 19:05:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	51.7
CF-111a	CF-111a_LP-DIR-T	CF-111		ht	275.2	33.4	2	7	100	0	3.7	955	941	K		hargrave 2021-02-13 09:51:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	51.8
CF-112a	CF-112a_LP-DIR-T	CF-112		ht	289.9	36.3	3	9	100	0	1.9	957	937	K		hargrave 2021-02-13 19:07:08	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	52.1
CF-113a	CF-113a_LP-DIR-T	CF-113		ht	299.5	32.1	2	6	100	0	4.6	951	937	K		hargrave 2021-02-12 14:28:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	52.2
CF-114a	CF-114a_LP-DIR-T	CF-114		ht	296.8	33.9	2	9	100	0	6	960	941	K		hargrave 2021-02-13 19:08:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	52.9
CF-115a	CF-115a_LP-DIR-T	CF-115		ht	294.5	21.9	3	9	100	0	3.6	957	937	K		hargrave 2021-02-13 19:09:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	53.4
CF-116a	CF-116a_LP-DIR-T	CF-116		ht	293.4	23.9	3	7	100	0	6.3	960	947	K		hargrave 2021-02-13 19:11:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	53.9
CF-117a	CF-117a_LP-DIR-T	CF-117		ht	292.1	21.5	3	5	100	0	3.4	960	951	K		hargrave 2021-02-13 19:13:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	54.2
CF-118a	CF-118a_LP-DIR-T	CF-118		ht	291.1	49.7	2	10	100	10.7	6.2	955	923	K		hargrave 2021-02-13 15:01:08	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	54.8
CF-119a	CF-119a_LP-DIR-T	CF-119		ht	291.9	25	2	9	100	0	9.2	960	941	K		hargrave 2021-02-13 19:15:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	55.2
CF-11a	CF-11a_LP-DIR-T	CF-11		ht	283	37.6	3	9	100	0	9.5	953	933	K		hargrave 2020-11-22 16:19:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	6.2
CF-120a	CF-120a_LP-DIR-T	CF-120		ht	283.6	30.7	2	10	100	0	5	960	937	K		hargrave 2021-02-13 20:02:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	55.5
CF-121a	CF-121a_LP-DIR-T	CF-121		ht	286.9	16.9	2	8	100	0	1.7	960	945	K		hargrave 2021-02-13 19:18:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	55.8
CF-122a	CF-122a_LP-DIR-T	CF-122		ht	285.5	18.1	2	8	100	0	2.3	960	945	K		hargrave 2021-02-13 19:19:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	56
CF-123a	CF-123a_LP-DIR-T	CF-123		ht	287.6	18.4	3	10	100	0	6.9	960	937	K		hargrave 2021-02-13 19:21:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	56.3
CF-124a	CF-124a_LP-DIR-T	CF-124		ht	288.6	44.1	2	7	100	0	3.4	953	941	K		hargrave 2021-02-13 09:54:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	56.5
CF-125a	CF-125a_LP-DIR-T	CF-125		ht	301.8	40.6	3	8	100	0	10.8	960	941	K		hargrave 2021-02-13 20:04:36	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	56.7
CF-126a	CF-126a_LP-DIR-T	CF-126		ht	284.2	36.7	2	7	100	0	5	955	937	K		hargrave 2021-02-12 14:49:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	57
CF-127a	CF-127a_LP-DIR-T	CF-127		ht	302.1	16.6	3	8	100	0	4	960	941	K		hargrave 2021-02-13 20:06:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	57.4
CF-128a	CF-128a_LP-DIR-T	CF-128		ht	283.3	24.5	3	10	100	0	13.8	955	923	K		hargrave 2021-02-12 14:52:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	57.9
