tab	specimens																									
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site	strat_level
CF-129a	CF-129a_LP-DIR-T	CF-129		ht	290.4	25.9	3	6	100	0	7.3	955	945	K		hargrave 2021-02-12 14:54:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	59.6
CF-130a	CF-130a_LP-DIR-T	CF-130		ht	302.5	20.3	3	8	100	0	10.6	960	945	K		hargrave 2021-02-13 19:25:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	59.9
CF-131a	CF-131a_LP-DIR-T	CF-131		ht	284	30	3	9	100	0	12.7	955	933	K		hargrave 2021-02-12 14:58:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	60.2
CF-132a	CF-132a_LP-DIR-T	CF-132		ht	296.6	47.5	3	7	100	0	8	957	945	K		hargrave 2021-02-13 20:07:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	60.7
CF-133a	CF-133a_LP-DIR-T	CF-133		ht	289.7	29.8	2	10	100	0	10.2	955	923	K		hargrave 2021-02-12 15:01:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	61.1
CF-134a	CF-134a_LP-DIR-T	CF-134		ht	275.2	-3.2	3	10	100	3.5	9.7	960	937	K		hargrave 2021-02-13 19:30:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	62
CF-135a	CF-135a_LP-DIR-T	CF-135		ht	285.9	29.5	3	7	100	0	4.6	960	947	K		hargrave 2021-02-13 20:09:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	62.4
CF-136a	CF-136a_LP-DIR-T	CF-136		ht	286.9	32.3	2	10	100	0	9.2	957	933	K		hargrave 2021-02-13 20:10:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	62.8
CF-137a	CF-137a_LP-DIR-T	CF-137		ht	296.6	21.6	2	11	100	0	4.8	960	933	K		hargrave 2021-02-13 19:34:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	63.3
CF-138a	CF-138a_LP-DIR-T	CF-138		ht	292.1	20.6	3	12	100	0	3.1	960	923	K		hargrave 2021-02-13 19:36:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	63.9
CF-139a	CF-139a_LP-DIR-T	CF-139		ht	289.3	19.3	3	9	100	0	1.4	960	941	K		hargrave 2021-02-13 19:37:42	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	64.2
CF-13a	CF-13a_LP-DIR-T	CF-13		ht	248.1	28.5	3	6	100	0	9.6	954	941	K		hargrave 2020-11-24 21:45:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	7.1
CF-140a	CF-140a_LP-DIR-T	CF-140		ht	293.7	11.9	2	7	100	0	1.2	960	947	K		hargrave 2021-02-13 19:39:11	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	64.7
CF-141a	CF-141a_LP-DIR-T	CF-141		ht	286.9	18.3	2	11	100	3.1	5.9	960	933	K		hargrave 2021-02-13 19:40:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	65.4
CF-142a	CF-142a_LP-DIR-T	CF-142		ht	276.3	30.6	3	7	100	0	6.9	960	947	K		hargrave 2021-02-13 19:42:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	65.8
CF-143a	CF-143a_LP-DIR-T	CF-143		ht	304.6	27.7	3	6	100	0	7.3	945	913	K		hargrave 2021-02-12 11:18:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	66.2
CF-146a	CF-146a_LP-DIR-T	CF-146		ht	308.6	37.6	3	8	100	0	12.4	951	923	K		hargrave 2021-02-16 17:07:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	68.5
CF-147a	CF-147a_LP-DIR-T	CF-147		ht	286.3	35.2	3	11	100	0	6.9	957	923	K		hargrave 2021-02-16 17:08:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	68.9
CF-148a	CF-148a_LP-DIR-T	CF-148		ht	290.9	30.6	3	9	100	0	8.8	957	937	K		hargrave 2021-02-16 17:09:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	69.9
CF-149a	CF-149a_LP-DIR-T	CF-149		ht	282.8	13.6	2	11	100	0	9.2	957	923	K		hargrave 2021-02-16 17:11:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	70.3
CF-14a	CF-14a_LP-DIR-T	CF-14		ht	280.3	14.3	3	12	100	0	6.6	954	933	K		hargrave 2020-11-24 21:46:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	7.6
CF-150a	CF-150a_LP-DIR-T	CF-150		ht	295	36	3	11	100	0	8.7	957	923	K		hargrave 2021-02-16 18:17:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	70.4
CF-152a	CF-152a_LP-DIR-T	CF-152		ht	289.7	19.8	2	10	100	0	3.8	957	923	K		hargrave 2021-02-16 17:14:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	71.9
CF-153a	CF-153a_LP-DIR-T	CF-153		ht	284.1	25.6	2	9	100	0	2.2	953	923	K		hargrave 2021-02-16 18:19:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	72.6
CF-154a	CF-154a_LP-DIR-T	CF-154		ht	280.7	30.9	3	7	100	0	11.3	949	923	K		hargrave 2021-02-12 11:36:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	73
CF-156a	CF-156a_LP-DIR-T	CF-156		ht	306.4	18	3	8	100	0	8.4	949	913	K		hargrave 2021-02-12 11:39:36	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	73.9
CF-157a	CF-157a_LP-DIR-T	CF-157		ht	285.9	25.2	3	6	100	0	6.3	951	937	K		hargrave 2021-02-16 18:20:54	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	75
CF-158a	CF-158a_LP-DIR-T	CF-158		ht	289.2	15.3	3	9	100	0	4.8	957	937	K		hargrave 2021-02-16 17:19:11	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	75.8
CF-15a	CF-15a_LP-DIR-T	CF-15		ht	301.2	39.3	3	9	100	0	9.1	950	923	K		hargrave 2020-11-22 16:28:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	8
CF-160a	CF-160a_LP-DIR-T	CF-160		ht	299.8	31.4	3	10	100	0	11.9	957	933	K		hargrave 2021-02-16 18:23:54	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	76.8
CF-162a	CF-162a_LP-DIR-T	CF-162		ht	303.2	23.4	3	10	100	0	13.2	955	923	K		hargrave 2021-02-16 18:25:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	78.1
CF-163a	CF-163a_LP-DIR-T	CF-163		ht	283	28.1	3	8	100	0	7.5	957	941	K		hargrave 2021-02-16 18:26:54	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	78.7
CF-164a	CF-164a_LP-DIR-T	CF-164		ht	285.9	33	2	5	100	2.1	3	957	949	K		hargrave 2021-02-16 18:28:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	79.6
CF-166a	CF-166a_LP-DIR-T	CF-166		ht	273	27	3	11	100	0	5.6	957	923	K		hargrave 2021-02-16 17:31:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	80.6
CF-167a	CF-167a_LP-DIR-T	CF-167		ht	285.9	34.4	2	6	100	0	3.7	957	947	K		hargrave 2021-02-16 18:30:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	81.1
CF-168a	CF-168a_LP-DIR-T	CF-168		ht	283.2	19.9	2	8	100	0	4.7	953	923	K		hargrave 2021-02-16 18:32:23	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	81.6
CF-169a	CF-169a_LP-DIR-T	CF-169		ht	295.4	34	3	11	100	0	10.9	957	923	K		hargrave 2021-02-16 17:35:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	82.4
CF-16a	CF-16a_LP-DIR-T	CF-16		ht	286	32	3	11	100	0	6.9	953	923	K		hargrave 2020-11-24 21:48:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	8.2
CF-170a	CF-170a_LP-DIR-T	CF-170		ht	281.3	28	2	7	100	0	3.6	957	941	K		hargrave 2021-02-16 18:35:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	82.9
CF-172a	CF-172a_LP-DIR-T	CF-172		ht	294.4	35.2	2	6	100	0	4.5	957	947	K		hargrave 2021-02-16 18:36:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	84.1
CF-173a	CF-173a_LP-DIR-T	CF-173		ht	279.4	30.6	2	6	100	0	5.1	941	903	K		hargrave 2021-02-07 13:54:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	85
CF-174a	CF-174a_LP-DIR-T	CF-174		ht	279.8	36.8	2	6	100	0	5.4	947	923	K		hargrave 2021-02-11 18:12:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	86.1
CF-175a	CF-175a_LP-DIR-T	CF-175		ht	283.4	30.5	2	5	100	0	1.1	953	945	K		hargrave 2021-02-16 18:39:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	86.9
CF-176a	CF-176a_LP-DIR-T	CF-176		ht	291.4	39.6	3	8	100	0	7.9	951	923	K		hargrave 2021-02-13 11:53:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	87.3
CF-178a	CF-178a_LP-DIR-T	CF-178		ht	306.7	45.1	3	9	100	9.7	17.8	941	873	K		hargrave 2021-02-07 14:03:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	88.9
CF-179a	CF-179a_LP-DIR-T	CF-179		ht	285.7	11.3	3	6	100	0	11	953	941	K		hargrave 2021-02-16 12:22:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	89.7
CF-17a	CF-17a_LP-DIR-T	CF-17		ht	291.7	33.7	3	13	100	0	6.4	954	923	K		hargrave 2020-11-24 21:50:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	8.7
CF-182a	CF-182a_LP-DIR-T	CF-182		ht	278.9	20	3	7	100	0	4.3	957	945	K		hargrave 2021-02-16 18:40:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	91.5
CF-183a	CF-183a_LP-DIR-T	CF-183		ht	277.8	29	2	6	100	0	8	957	945	K		hargrave 2021-02-16 18:42:04	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	92.3
CF-185a	CF-185a_LP-DIR-T	CF-185		ht	302.8	47.2	2	7	100	0	11.4	953	937	K		hargrave 2021-02-16 12:27:04	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	94.1
CF-18a	CF-18a_LP-DIR-T	CF-18		ht	301.9	40.7	3	9	100	0	12.5	954	933	K		hargrave 2020-11-24 21:51:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	9.1
CF-19a	CF-19a_LP-DIR-T	CF-19		ht	299.8	32	3	13	100	0	4.5	954	923	K		hargrave 2020-11-24 21:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	10.7
CF-1a	CF-1a_LP-DIR-T	CF-1		ht	303.3	26.8	2	10	100	0	12.8	949	903	K		hargrave 2020-11-19 18:48:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	1.1
CF-20a	CF-20a_LP-DIR-T	CF-20		ht	300.9	34.1	3	13	100	0	5.1	954	923	K		hargrave 2020-11-24 21:55:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	11.1
CF-21a	CF-21a_LP-DIR-T	CF-21		ht	288.1	38.4	3	16	100	0	2.7	954	893	K		hargrave 2020-11-24 21:57:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	11.3
CF-22a	CF-22a_LP-DIR-T	CF-22		ht	279.6	37.8	3	10	100	0	4.2	953	937	K		hargrave 2020-11-24 21:59:06	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	11.4
CF-23a	CF-23a_LP-DIR-T	CF-23		ht	290.1	24.7	3	14	100	0	4.3	954	913	K		hargrave 2020-11-24 22:00:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	11.8
CF-24a	CF-24a_LP-DIR-T	CF-24		ht	284.6	23.9	3	10	100	0	7.8	953	937	K		hargrave 2020-11-22 16:45:23	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	13
CF-27a	CF-27a_LP-DIR-T	CF-27		ht	302.5	41.7	3	11	100	0	8.3	951	913	K		hargrave 2020-11-22 16:48:23	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	16
CF-28a	CF-28a_LP-DIR-T	CF-28		ht	283.7	34.2	3	10	100	0	11.8	952	923	K		hargrave 2020-11-22 16:49:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	16.4
CF-29a	CF-29a_LP-DIR-T	CF-29		ht	285.2	32.5	3	9	100	0	11.6	953	923	K		hargrave 2020-11-22 16:51:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	17.2
CF-2a	CF-2a_LP-DIR-T	CF-2		ht	273.8	16	2	7	100	0	15.5	948	923	K		hargrave 2020-11-19 10:59:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	1.5
CF-30a	CF-30a_LP-DIR-T	CF-30		ht	273.5	46	3	10	100	0	8.8	954	933	K		hargrave 2020-11-24 22:02:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	17.8
CF-31a	CF-31a_LP-DIR-T	CF-31		ht	272.1	35.1	3	10	100	0	11.5	951	923	K		hargrave 2020-11-22 16:54:52	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	18
CF-33a	CF-33a_LP-DIR-T	CF-33		ht	276.4	15.8	3	13	100	0	3.3	954	923	K		hargrave 2020-11-24 22:03:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	18.6
CF-35a	CF-35a_LP-DIR-T	CF-35		ht	301.4	18.6	3	14	100	0	5	954	923	K		hargrave 2020-11-24 22:05:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	19.2
