tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
CF-122a	CF-122a_LP-DIR-T	CF-122		ht	289.6	15.7	1	3	0	0.0	2.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:22:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-123a	CF-123a_LP-DIR-T	CF-123		ht	287.8	19.8	1	3	0	0.0	2.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:23:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-123a	CF-123a_LP-DIR-T	CF-123		ht	123.0	75.0	1	3	-1	0.0	2.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:23:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-123a	CF-123a_LP-DIR-T	CF-123		ht	284.3	24.7	1	3	100	0.0	2.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:23:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-123a		CF-123										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-124a		CF-124										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-124a	CF-124a_LP-DIR-T	CF-124		ht	127.8	25.2	1	3	-1	0.0	3.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:24:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-124a	CF-124a_LP-DIR-T	CF-124		ht	293.8	42.4	1	3	0	0.0	3.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:24:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-124a	CF-124a_LP-DIR-T	CF-124		ht	285.4	47.9	1	3	100	0.0	3.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:24:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-125a	CF-125a_LP-DIR-T	CF-125		ht	158.5	57.3	1	3	-1	0.0	4.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:26:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-125a		CF-125										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-125a	CF-125a_LP-DIR-T	CF-125		ht	297.8	41.0	1	3	100	0.0	4.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:26:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-125a	CF-125a_LP-DIR-T	CF-125		ht	303.3	34.1	1	3	0	0.0	4.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:26:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-126a	CF-126a_LP-DIR-T	CF-126		ht	239.8	83.9	1	3	-1	0.0	2.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:27:51	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-126a		CF-126										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-126a	CF-126a_LP-DIR-T	CF-126		ht	285.7	36.3	1	3	100	0.0	2.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:27:51	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-126a	CF-126a_LP-DIR-T	CF-126		ht	291.3	30.9	1	3	0	0.0	2.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:27:51	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-127a	CF-127a_LP-DIR-T	CF-127		ht	296.5	20.0	1	3	100	0.0	2.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:29:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-127a	CF-127a_LP-DIR-T	CF-127		ht	298.8	13.5	1	3	0	0.0	2.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:29:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-127a	CF-127a_LP-DIR-T	CF-127		ht	131.3	63.3	1	3	-1	0.0	2.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:29:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-127a		CF-127										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-128a	CF-128a_LP-DIR-T	CF-128		ht	136.8	51.6	1	3	-1	0.0	1.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:31:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-128a	CF-128a_LP-DIR-T	CF-128		ht	288.7	29.5	1	3	0	0.0	1.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:31:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-128a	CF-128a_LP-DIR-T	CF-128		ht	283.3	34.5	1	3	100	0.0	1.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:31:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-128a		CF-128										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-129a	CF-129a_LP-DIR-T	CF-129		ht	235.3	47.5	1	3	-1	0.0	1.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:34:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-129a	CF-129a_LP-DIR-T	CF-129		ht	302.1	28.9	1	3	0	0.0	1.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:34:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-129a	CF-129a_LP-DIR-T	CF-129		ht	297.5	35.8	1	3	100	0.0	1.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:34:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-129a		CF-129										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-12a		CF-12										Sedimentary	Sediment Layer	Siltstone:Sandstone													Cut Face Creek	CF
CF-12a		CF-12										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-130a	CF-130a_LP-DIR-T	CF-130		ht	104.9	69.5	1	3	-1	0.0	2.0	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:36:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-130a	CF-130a_LP-DIR-T	CF-130		ht	298.7	21.1	1	3	0	0.0	2.0	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:36:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-130a	CF-130a_LP-DIR-T	CF-130		ht	295.3	27.6	1	3	100	0.0	2.0	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:36:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-130a		CF-130										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-131a	CF-131a_LP-DIR-T	CF-131		ht	127.9	47.9	1	3	-1	0.0	5.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:37:31	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-131a	CF-131a_LP-DIR-T	CF-131		ht	276.9	39.4	1	3	100	0.0	5.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:37:31	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-131a		CF-131										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-131a	CF-131a_LP-DIR-T	CF-131		ht	283.9	35.4	1	3	0	0.0	5.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:37:31	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-132a		CF-132										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-132a	CF-132a_LP-DIR-T	CF-132		ht	303.2	39.8	1	3	0	0.0	0.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:39:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-132a	CF-132a_LP-DIR-T	CF-132		ht	296.3	46.7	1	3	100	0.0	0.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:39:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-132a	CF-132a_LP-DIR-T	CF-132		ht	128.0	36.4	1	3	-1	0.0	0.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:39:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-133a	CF-133a_LP-DIR-T	CF-133		ht	290.3	35.8	1	3	100	0.0	2.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:40:42	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-133a		CF-133										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-133a	CF-133a_LP-DIR-T	CF-133		ht	178.6	54.1	1	3	-1	0.0	2.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:40:42	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-133a	CF-133a_LP-DIR-T	CF-133		ht	295.5	29.9	1	3	0	0.0	2.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:40:42	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-134a		CF-134										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-134a	CF-134a_LP-DIR-T	CF-134		ht	304.3	81.5	1	3	-1	0.0	5.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:42:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-134a	CF-134a_LP-DIR-T	CF-134		ht	278.8	6.1	1	3	0	0.0	5.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:42:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-134a	CF-134a_LP-DIR-T	CF-134		ht	277.5	9.8	1	3	100	0.0	5.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:42:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-135a	CF-135a_LP-DIR-T	CF-135		ht	292.8	26.2	1	3	0	0.0	3.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:43:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-135a	CF-135a_LP-DIR-T	CF-135		ht	130.3	59.9	1	3	-1	0.0	3.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:43:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-135a	CF-135a_LP-DIR-T	CF-135		ht	288.2	31.8	1	3	100	0.0	3.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:43:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-135a		CF-135										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-136a	CF-136a_LP-DIR-T	CF-136		ht	157.4	54.3	1	3	-1	0.0	4.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:45:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-136a	CF-136a_LP-DIR-T	CF-136		ht	295.1	32.6	1	3	0	0.0	4.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:45:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-136a	CF-136a_LP-DIR-T	CF-136		ht	289.3	38.4	1	3	100	0.0	4.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:45:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-136a		CF-136										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-137a	CF-137a_LP-DIR-T	CF-137		ht	122.1	51.0	1	3	-1	0.0	3.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:46:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-137a	CF-137a_LP-DIR-T	CF-137		ht	293.1	18.7	1	3	0	0.0	3.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:46:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-137a	CF-137a_LP-DIR-T	CF-137		ht	289.9	24.4	1	3	100	0.0	3.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:46:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-137a		CF-137										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-138a	CF-138a_LP-DIR-T	CF-138		ht	291.3	22.3	1	3	100	0.0	2.0	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:48:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-138a	CF-138a_LP-DIR-T	CF-138		ht	294.1	16.4	1	3	0	0.0	2.0	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:48:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-138a	CF-138a_LP-DIR-T	CF-138		ht	143.4	70.6	1	3	-1	0.0	2.0	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:48:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-138a		CF-138										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-139a		CF-139										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-139a	CF-139a_LP-DIR-T	CF-139		ht	292.0	15.9	1	3	0	0.0	0.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:52:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-139a	CF-139a_LP-DIR-T	CF-139		ht	141.4	70.8	1	3	-1	0.0	0.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:52:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-139a	CF-139a_LP-DIR-T	CF-139		ht	289.2	21.5	1	3	100	0.0	0.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:52:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-13a		CF-13										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		ht	182.6	-27.4	1	3	-1	0.0	4.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2020-10-16 17:12:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		ht	271.6	31.6	1	3	100	0.0	4.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2020-10-16 17:12:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		ht	277.2	28.5	1	3	0	0.0	4.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2020-10-16 17:12:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-140a	CF-140a_LP-DIR-T	CF-140		ht	292.9	9.5	1	3	0	0.0	1.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:53:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-140a	CF-140a_LP-DIR-T	CF-140		ht	90.1	52.2	1	3	-1	0.0	1.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:53:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-140a		CF-140										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-140a	CF-140a_LP-DIR-T	CF-140		ht	291.1	15.3	1	3	100	0.0	1.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:53:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-141a		CF-141										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-141a	CF-141a_LP-DIR-T	CF-141		ht	290.2	15.2	1	3	0	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:55:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-141a	CF-141a_LP-DIR-T	CF-141		ht	107.5	48.9	1	3	-1	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:55:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-141a	CF-141a_LP-DIR-T	CF-141		ht	287.5	20.6	1	3	100	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:55:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-142a	CF-142a_LP-DIR-T	CF-142		ht	288.9	24.1	1	3	0	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:56:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-142a		CF-142										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-142a	CF-142a_LP-DIR-T	CF-142		ht	130.6	58.9	1	3	-1	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:56:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-142a	CF-142a_LP-DIR-T	CF-142		ht	284.6	29.2	1	3	100	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:56:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-143a		CF-143										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-143a	CF-143a_LP-DIR-T	CF-143		ht	100.8	47.4	1	3	-1	0.0	4.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-05 16:50:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-143a	CF-143a_LP-DIR-T	CF-143		ht	301.4	29.7	1	3	100	0.0	4.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-05 16:50:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-143a	CF-143a_LP-DIR-T	CF-143		ht	304.7	22.5	1	3	0	0.0	4.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-05 16:50:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-144a		CF-144										Sedimentary	Sediment Layer	Siltstone:Sandstone													Cut Face Creek	CF
CF-144a		CF-144										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-145a		CF-145										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-146a	CF-146a_LP-DIR-T	CF-146		ht	310.3	31.4	1	3	0	0.0	8.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-05 16:54:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-146a	CF-146a_LP-DIR-T	CF-146		ht	305.8	39.2	1	3	100	0.0	8.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-05 16:54:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-146a		CF-146										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-146a	CF-146a_LP-DIR-T	CF-146		ht	130.6	32.3	1	3	-1	0.0	8.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-05 16:54:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
