tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
CF-106a	CF-106a_LP-DIR-T	CF-106		ht	290.0	30.4	1	3	0	0.0	4.0	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:54:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-107a	CF-107a_LP-DIR-T	CF-107		ht	181.0	57.7	1	3	-1	0.0	4.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:55:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-107a	CF-107a_LP-DIR-T	CF-107		ht	288.8	38.3	1	3	0	0.0	4.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:55:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-107a	CF-107a_LP-DIR-T	CF-107		ht	281.2	43.1	1	3	100	0.0	4.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:55:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-107a		CF-107										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-108a		CF-108										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-108a	CF-108a_LP-DIR-T	CF-108		ht	279.8	30.7	1	3	100	0.0	0.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:57:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-108a	CF-108a_LP-DIR-T	CF-108		ht	284.7	26.4	1	3	0	0.0	0.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:57:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-108a	CF-108a_LP-DIR-T	CF-108		ht	130.9	63.4	1	3	-1	0.0	0.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:57:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-109a	CF-109a_LP-DIR-T	CF-109		ht	280.1	30.9	1	3	100	0.0	4.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:00:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
