tab	samples
sample	site	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
CF-1	CF	1.1			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	137.5	0.0	9.98	166.5	-2	This study	SO-CMD-NORTH	g	i
CF-2	CF	1.5			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	22.5	0.0	9.98	166.5	-7	This study	SO-CMD-NORTH	g	i
CF-3	CF	1.8			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	125.5	0.0	9.98	166.5	-4	This study	SO-CMD-NORTH	g	i
CF-4	CF	2.2			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	322.5	0.0	9.98	166.5	-2	This study	SO-CMD-NORTH	g	i
CF-5	CF	2.6			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	10.5	0.0	9.98	166.5	-4	This study	SO-CMD-NORTH	g	i
CF-6	CF	3.3			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	344.5	0.0	9.98	166.5	-3	This study	SO-CMD-NORTH	g	i
CF-7	CF	3.7			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	354.5	0.0	9.98	166.5	-8	This study	SO-CMD-NORTH	g	i
CF-8	CF	4.1			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	14.5	0.0	9.98	166.5	-4	This study	SO-CMD-NORTH	g	i
CF-9	CF	5.4			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	94.5	0.0	9.98	166.5	-44	This study	SO-CMD-NORTH	g	i
CF-10	CF	5.8			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	107.5	0.0	9.98	166.5	-80	This study	SO-CMD-NORTH	g	i
CF-11	CF	6.2			Sedimentary	Sediment Layer	Siltstone:Sandstone	James Pierce	98.5	0.0	9.98	166.5	-65	This study	SO-CMD-NORTH	g	i
