sample,#,depth,Dg,Ig,Ds,Is,Lat,Lon
G924,395,2357.2,206.2,-25.8,215.4,-5.7,-46.4,41.2
G922,396,2353.2,193.6,-17,200.6,-5,-55.6,59.8
G921,397,2351.2,177.8,-49.2,213.2,-37.8,-58.8,18.3
G920,398,2349.2,207.8,-57.2,235.4,-30.9,-37.9,10.7
G917,399,2343.2,285.6,-72.3,275.1,-35.8,-5.9,348.7
G916,400,2341.2,191.2,-53.1,223.8,-34.2,-48.7,14.8
G915,401,2339.2,224.9,-25.6,230,2.5,-32.7,32.8
G914,402,2337.2,191.7,-25.9,204.6,-13.2,-56.6,49.6
G911-1,403,2331.2,353.8,74.3,63.3,51.6,36.9,169.1
G910,404,2329.2,14.4,61.6,53,38.8,42.1,185.7
G909,405,2327.2,20,47.6,44.4,26.4,46,200.7
G908-2,406,2325.2,342.6,51.1,27.5,46.7,65.9,188.2
G907,407,2323.2,25.9,39.9,44.9,21,43.9,204
G905,408,2319.2,259.2,77.6,103.2,65.7,14.4,140.7
G904,409,2317.2,34.5,24.8,42.6,4.4,40.6,215.3
G902,410,2313.2,32.7,49.7,55.3,26.1,36.6,194
G901,411,2311.2,10.8,73.4,69.1,49.3,31.5,169.6
G900,412,2309.2,14,65,59.6,44,37.9,178.1
G899,413,2307.2,6.9,47.6,38.8,35.7,53.4,196.6
G898,414,2305.2,9.6,34.6,30.2,24.8,57,214.3
G896,415,2301.2,80.9,46.2,85.2,10.9,6.9,186
G894-1,416,2297.2,29.5,9.1,30.3,-6.5,45.3,232.6
G893,417,2295.2,330.1,42.3,10.1,52.5,81.1,171
G892,418,2293.2,56.1,45.1,67.8,14.5,22.8,193.4
G890,419,2289.2,318.8,44.3,4.1,60.3,79.1,114.8
G888,420,2285.7,9.1,43.9,37,32,53.8,201.5
G887,421,2283.7,17.8,65,60.9,42.7,36.4,178.8
G886,422,2281.7,16.1,50,46.1,33.1,46.5,194.3
G885,423,2279.7,357.3,33.7,21,30.9,66.2,220.1
G884,424,2277.7,19.4,29.5,33.8,15.7,51.1,217.1
G883,425,2274.7,301.4,36.1,330.1,60.9,63.7,41.5
G882-2,426,2272.7,42.3,53.3,60.5,26.1,32.2,191.1
G881,427,2270.7,2.4,51.9,36.8,39.6,56.2,193.6
G880,428,2268.7,30.5,31.1,41.4,10.7,43.6,213
G879,429,2266.7,359.7,52.7,36.2,41.4,57.2,191.7
G878-2,430,2264.7,24.4,58.2,53.8,35.7,40.6,187.9
G877,431,2263.2,23.3,18.8,29.4,3.3,49.7,229
G875,432,2258.2,42.7,33,51.5,7.7,34.6,206.8
G873,433,2253.2,349.6,39.6,17.6,37.3,71.3,216.4
G872,434,2251.2,80.4,67.6,85.6,33.8,13,174.3
G871,435,2249.2,4.1,16,12.3,11,62.2,251.3
G870,436,2247.2,16.9,42.5,38.3,26.2,51,205.4
G868,437,2243.2,231.1,-12.2,230.7,14.4,-28.3,37.6
G865,438,2237.2,240.5,-20.4,242.2,9.6,-20.8,27.7
G863,439,2233.2,7.5,44.1,33.3,31.7,56.8,204.9
G861,440,2227.2,41.6,41.3,54.3,15.5,34.5,200.8
G860,441,2225.2,45.4,46.2,59.1,18.9,31.4,196
G858,442,2221.2,209.3,-26,217.9,-6.8,-45,38.2
G857,443,2219.5,252,-56.9,259.4,-23.9,-15.4,2.7
G856,444,2217.5,181.9,-39.9,206.3,-31.1,-62.2,32.7
G854,445,2213.5,267.5,-64.4,268.7,-30.5,-9.4,354.7
G851,446,2208.3,200.2,-36.7,216.8,-19.9,-50.2,31.4
G850,447,2206.3,13.2,36.4,31.7,22.9,55.1,214.2
G848,448,2201.5,353.3,48.3,28.1,41.5,64.2,197.1
G847,449,2199.5,56.1,24.3,59.4,-4.7,24.6,207.3
G846,450,2197.5,36.3,16.8,39.3,-4.5,40.1,222.5
G843,451,2191.5,348.8,46.9,24,42.8,68,198.2
G842,452,2189.5,327.9,-8.9,328.1,9.5,50.3,333.8
G840,453,2185.5,55.7,70.8,76.2,39.2,22.5,175.1
G839,454,2183.5,345.5,41.7,16.7,41,73.4,210.6
G835,455,2175.5,172.1,-49.4,213.3,-46.9,-61,5.2
G834,456,2172.5,310.1,59.7,37.5,72.7,52.7,130.4
G832,457,2166.5,46.5,15.3,48.6,-6.9,32.4,215.8
G831,458,2164.5,306.3,45.6,351.9,70.4,65.6,86.9
G830,459,2162.5,49.2,79.5,87.1,47.5,16.5,164.4
G829,460,2158.5,20.4,58.6,57.4,39.8,38.6,182.8
G825,461,2150.5,210.4,-28.6,222.3,-12,-43.3,31.5
G824,462,2148.5,177.4,-1.6,180.4,-8,-63.2,97.4
G822,463,2144.5,253,-38.9,258.9,-6.4,-11.2,11.3
G820,464,2139.3,271.9,-78.1,277,-43.2,-7.1,343.2
G819,465,2137.5,184.8,-65.6,239.3,-49.7,-39.6,352.4
G818,466,2135.5,154.3,-64.3,230.3,-61.6,-48.7,337.1
G817,467,2133.5,196.2,-48.3,226,-34.2,-46.9,13.4
G816,468,2131.5,38.6,41.6,55.4,19.4,34.7,198
G814,469,2127.5,149.9,-19.7,167.2,-38,-75.1,151.7
G812,470,2123.5,345.2,-53.4,318.7,-31.3,27.9,323.9
G811,471,2121.5,118.1,17.1,118,-16.2,-28.2,180.8
G810,472,2119.5,217.7,-36.9,226.5,-20.2,-42.4,23.4
G809,473,2117.5,236.8,-35.6,241.7,-15,-28.1,16.6
G808,474,2115.5,191.2,-55.8,216.2,-44.7,-58,7.2
G807,475,2109.5,213.6,-21.4,218.1,-6.5,-44.7,38.2
G806,476,2104.5,236.5,-50.2,244.8,-29.2,-29.3,6.9
G805,477,2102.5,221,-55.7,236,-37.2,-39.1,5.6
G804,478,2101,264.4,-50.1,264.8,-27.1,-11.7,358.4
G803,479,2096,231.8,-27.3,235.8,-7.8,-31.1,23.8
G802,480,2094,267,-46.7,266.8,-23.7,-9,359.2
G801,481,2092,230.7,-33.9,236.3,-14.4,-32.5,20.1
G800,482,2090,227.6,-42.6,236.1,-23.5,-35.2,15.1
G799,483,2088,222.6,-50.7,235,-32.2,-38.6,10
G798,484,2085,246.3,-42.8,250.7,-20.7,-22,8.7
G797,485,2083,235.9,-8,235.5,12,-25.4,33.2
G796,486,2081,241.5,-33.8,245.3,-12.5,-24.4,15.8
G795,487,2076,243.4,-31,246.5,-9.5,-22.6,16.5
G792,488,2070,215.9,-63.3,236.7,-45.2,-40.7,358.1
G791,489,2068,269.6,-66.4,271.2,-39.4,-10.3,348.3
G789,490,2064,177.7,-48.1,206,-43.7,-66.5,14.9
G787,491,2060,245.2,-52,254.2,-27.1,-20.7,3.5
G786,492,2058,237.2,-37.2,244.2,-14.2,-25.8,15.6
G785,493,2056,206.8,-41.7,222.9,-27.1,-47.4,21.2
G784-1,494,2054,264.9,-26.7,265.8,0,-3.6,10.5
G783-2,495,2052,305.6,-51.8,295.1,-27.6,12.9,342.3
G782,496,2050,210.6,-38.7,224.2,-23.2,-45.2,23.1
G781,497,2048,235,-39.8,243.3,-17.2,-27.4,14.5
G778,498,2042,220.3,-42.6,233.2,-23.6,-37.7,16.8
G777,499,2040,226.8,-33.8,234.9,-13.6,-33.5,21.4
G776,500,2038,242.5,-43.5,250,-19.2,-22.2,9.9
G775,501,2036,268.1,-75.4,271.2,-48.4,-13.6,342
G773,502,2024,197.9,-58.6,228.2,-44.4,-47.7,2.3
G772,503,2020,172.6,0.1,173.7,-4.6,-60.8,111.3
G771,504,2015,266.7,-29.3,267.5,-2.4,-2.8,8.6
G770,505,2012,236.5,-51,248,-27.6,-26.2,6.3
G769,506,2010,191.2,-31.4,205.3,-24.2,-60.4,40.7
G767,507,2006,257.9,-64.9,264.9,-38.4,-15.1,351.8
G765,508,2002,211.5,-65.5,241.2,-46.1,-37.1,355.5
G763,509,1996,234.7,-25.9,239,-3.9,-27.3,23.6
G762,510,1994,241.9,-58,253.9,-33.3,-22.7,0
G761-1,511,1992,213.6,-41.2,227.6,-24.4,-42.7,19.9
G760,512,1983.7,209.5,-26.5,218.5,-9.2,-45.3,36.4
G759,513,1981.7,242.3,-61.5,255.8,-31.7,-20.6,0.1
G758,514,1979.7,219.4,-49.8,237.2,-26.1,-35,12.9
G757,515,1978.5,269.9,-58.3,270.8,-26.3,-6.4,355.9
G756,516,1976.5,223.9,-50.7,240.5,-25.6,-32,11.4
G755,517,1974.5,256,-66.5,264.3,-35.1,-14.5,354.2
G754,518,1972.5,220.2,-44.6,235.1,-21.3,-35.5,17
G752,519,1968.5,231.1,-43.5,242.2,-17.1,-28.3,15.2
G751,520,1967.5,216.4,-65,244.9,-39.9,-32.3,359.4
G749,521,1962.5,257.3,-54.3,262.7,-22.9,-12.3,1.6
G748,522,1960.5,223,-61.2,245.6,-35.2,-30.3,2.6
G746,523,1956,229.1,-34.9,237.5,-9.5,-30.2,21.9
G745,524,1955,224.4,-38.5,235.4,-14.3,-33.3,20.8
G744,525,1954,277.9,-41.5,276.5,-9.6,3.1,0.8
G743,526,1951,278.3,-40.8,276.8,-9,3.5,0.9
G742-2,527,1949,241.1,-52.8,252.2,-23.6,-21.5,6.4
G741,528,1948,229.6,-54,245.5,-27.1,-28.2,7.9
G740,529,1946,205.8,-6,205.5,7.2,-47.8,58.5
G739,530,1944,263.4,-48.9,266.1,-17.2,-7.8,2.7
G737,531,1939.5,218.1,-56.3,240,-32.2,-34.3,7.4
G735,532,1935.8,267.2,-43.7,268.5,-11.8,-4.3,3.9
G733,533,1931.8,242.1,-42.8,249.9,-13.8,-20.8,12.6
G732,534,1930.8,211.4,-53.7,234.6,-32,-38.9,10.3
G731,535,1929.3,222.5,-29.2,230.1,-6.4,-35.3,28.4
G730,536,1926.8,240.3,-54.6,252.3,-25.5,-21.9,5.4
G729,537,1925.3,220.9,-57.3,242.2,-32.3,-32.4,6.2
G727,538,1921.6,203.7,-47.1,225.6,-29.3,-45.8,17.7
G726,539,1919.6,252.2,-57.5,260.3,-26.6,-15.4,0.9
G725,540,1917.6,26.5,30.1,37.9,13.6,47.2,214.4
G724,541,1915.6,5.6,47.4,34.3,37,57.6,198.4
G723,542,1913.3,26,43.4,44.8,25.2,45.3,201.2
G722,543,1911.8,14.2,63.2,53.5,44.9,43.3,179.6
G721,544,1909.8,14.5,31.6,29.5,20.3,55.9,218.6
G720,545,1907.8,20.1,52.1,46.8,34.6,46.3,192.6
G719,546,1906.8,13.4,41.3,34.9,28.8,54.6,206.2
G718,547,1904.8,32.9,36.5,47,20.3,42,202.9
G717,548,1903.3,57.8,30.5,64,6.3,23.8,199.5
G716,549,1901.3,52.2,43.7,64.5,20.2,27.1,192.3
G715,550,1899.3,31.7,50.1,54,32.4,39.5,190.4
G714,551,1897.3,28,63.6,62.2,44.4,35.8,176.7
G713,552,1896,5.3,52,39,44.2,55.5,186.6
G712,553,1894,3.2,42.1,28.8,37.7,62.4,202
G711,554,1892,323.3,33.7,346.9,50.6,78.8,14.1
G710,555,1890,78.7,26.7,80.8,-1.8,7.4,193.8
G709,556,1888,24.8,51.2,50.3,35.8,43.6,189.6
G708,557,1885,81,74.8,91.7,45.3,12,164.1
G707,558,1883,17.3,22.7,27.5,15,55.4,224.7
G706,559,1881,19.2,65.4,60.1,48.3,38.6,173.7
G705,560,1879,29.3,75.8,75.9,52.7,27.1,164
G704,561,1877,76.5,42.6,81.8,14.1,10.7,186.3
G703,562,1875,44.9,36.1,55.9,15.6,33.2,199.7
G702,563,1874,18.2,15.7,24.6,8.6,54.8,232.3
G701,564,1871,57.4,46.3,69.2,21.3,23.4,189.2
G700,565,1867,60.1,41.7,69.5,16.3,21.8,191.6
G699,566,1862,27.5,63.8,62.2,44.7,35.9,176.4
G698,567,1860,10.1,41.8,33.6,34.3,57.4,201.9
G697,568,1858,76.9,-1.3,73.7,-29.1,5.4,210
G696,569,1856,290.8,50.3,320.5,77.9,47.1,76.7
G695,570,1854,15.3,50.9,44.2,39.2,49.8,189.7
G694,571,1851,45,43.3,59.2,22.1,32.2,194.2
G693,572,1849,175,-22.2,188.6,-25.6,-70.9,71.9
G692,573,1847,296.2,-34.9,293,-6,17.9,353.4
G691,574,1845,184.8,-10.3,190.5,-10.5,-62.6,75.1
G690,575,1843,248.9,-36.8,254.7,-9.7,-15.6,12
G689,576,1841,235.7,-21.8,239.3,1.3,-25.6,25.8
G687,577,1837,288.3,-65.9,283.1,-36.1,0.4,344.5
G686,578,1835,40.9,29.6,49.9,11,36.9,206.2
G685,579,1833,59.7,22.1,63,-2.2,22.3,203.9
G684,580,1831,313.9,50,357.8,67.5,70.4,94.1
G683,581,1829,48.4,36.1,58.6,14.3,30.6,198.8
G681,582,1825,182.7,-26.6,197.7,-25.3,-66,51.5
G680,583,1823,202,-62.6,238.5,-45.5,-39.2,357.1
G679,584,1821,241.4,-37.2,249,-11.7,-21,14.1
G678,585,1819,209.6,-56.6,237.2,-38.5,-38.4,4
G677,586,1817,230.1,22.6,214.6,39.9,-27,62.3
G673,587,1812,168.2,-62.8,223.8,-57.9,-53.5,343.9
G672,588,1811,304.2,-28.3,300.9,-0.9,25.9,350.8
G667,589,1801,248.7,-7.8,247.3,18.4,-14,28.6
G666,590,1799,40.2,54.3,61.8,33.2,33,185.8
G665,591,1797,15,25.6,27.2,18.7,57,222.5
G664,592,1795,10.2,51.1,41.2,41.4,52.9,188.9
G661,593,1789,345.9,65.4,47.6,60,50.7,160
G659,594,1785,55.3,39.9,65.3,15.8,25.3,194.1
G658,595,1783,54.5,42.8,65.8,18.8,25.7,192.3
G657,596,1781,332.7,47.5,11.2,56.5,78.8,151.5
G656,597,1779,11.9,50.2,41.4,40.1,52.4,190.3
G655,598,1777,41.5,33.2,52,14.1,36,203.1
G654,599,1775,87.4,50.1,90.7,20.4,4.8,178.9
G653,600,1773,293.4,64.2,44.8,81.7,41.5,113.6
G652,601,1771,20.4,51.3,47.7,37.5,46.3,189.5
G651,602,1769,38.9,59.7,64.6,38.2,32,180.9
G650,603,1767,44.9,55.8,65.6,33.2,29.8,184
G649,604,1765,14,41.5,36.2,32.4,54.6,201.8
G642,605,1751,1.6,-19.9,352.1,-18.4,49,290.2
G640,606,1747,177.9,-20.4,187.8,-19,-67.7,77.7
G639,607,1745,208.9,-48.7,227.2,-31.6,-45.1,14.9
G637,608,1741,235.3,-33.6,241.1,-10.5,-27.4,19.2
G635,609,1735.8,223.2,-32.8,231.1,-12.8,-36.4,24.4
G634,610,1733.8,235.1,-50.3,245.9,-26.6,-27.7,8
G633,611,1731.8,194.7,-46.1,215.8,-34.2,-55.5,20.3
G632,612,1729.8,211.9,-54.2,232.4,-35.6,-41.8,8.7
G630,613,1725.8,233.7,-34.6,240.2,-11.9,-28.6,19
G629,614,1723.8,247.4,-44.5,251.3,-18.2,-20.8,9.7
G628,615,1721.8,221.5,-46.1,232.8,-23.9,-38.1,16.9
G627,616,1720.5,186,-32,199.4,-22.6,-63.8,50.9
G626,617,1718.2,176.1,-56.2,209.1,-46.6,-64.5,7.6
G623,618,1712.2,236.8,5.4,232.8,29.3,-21.2,43
G622,619,1710.2,201.2,-62,228.3,-43.3,-47.3,3.4
G621,620,1708.9,171.6,-59.1,209.3,-50.3,-64.9,0.2
G620,621,1706.9,187.7,-35.4,202.6,-25,-62.7,43.7
G619,622,1704.3,221.9,-50.8,234.8,-28.3,-37.7,12.8
G618,623,1703.6,168,-37.6,188.3,-35.2,-76.3,63.1
G617,624,1702.3,235.6,-58.5,246.3,-33.3,-29.2,3.6
G616,625,1698.3,255,-54.8,257.8,-28,-17.9,1.3
G615,626,1696.3,216.8,-42.8,228.2,-22,-41.5,21
G614,627,1694.3,219.5,-57.2,236,-34.8,-38.4,7.5
G613,628,1692.3,266.9,-53.8,265.7,-29.8,-11.7,356.6
G612,629,1690.3,215.3,-35,223.5,-17.4,-44,27.3
G610,630,1686.3,299,-78.2,275.4,-55.8,-13.8,334
G606,631,1678.3,218.8,17.1,210.2,33.1,-33.1,63.5
G605,632,1676.3,243.4,-59.8,250.9,-36.7,-26.3,359.2
G604,633,1674.3,243.9,-31.7,246.6,-8.9,-22.3,16.8
G603,634,1672.3,179.2,-45.3,200.1,-38.2,-69.7,31
G602,635,1669.4,159.6,-64.2,205.9,-59.7,-67,336.3
G601,636,1668,201.2,-15.5,204.9,-1.7,-51.8,55.4
G600,637,1666,222.2,-66.8,243.2,-42.3,-34.4,358.2
G599,638,1664,224.1,-45,234.8,-21.7,-35.8,17
G598,639,1662,220.5,-31.9,227.5,-10.2,-38.6,28.4
G597,640,1660,220.7,-54.6,236.2,-31.5,-37.4,9.8
G596,641,1658,247.5,-64.5,255.2,-37.1,-22.7,357
G595,642,1656,195.3,-48,216.1,-32.9,-54.9,21.4
G594,643,1654,172.1,-5.9,175.1,-6.1,-61.8,108.7
G593,644,1652,245.1,-52.2,251.3,-25.2,-22.7,6
G592,645,1650,220.9,-35.7,229.2,-13.7,-38.2,25.2
G591,646,1648,205,-53.2,225.6,-34.2,-47.2,13.7
G590,647,1646,259.6,-70.2,262,-42.2,-18.7,350.5
G589,648,1644,237,-34.9,243.3,-12.9,-26.2,16.7
G588,649,1642,224,-42,235.5,-22.8,-35.5,15.9
G587,650,1640,200.1,-34,213.3,-23.3,-54,32.2
G586,651,1638,232.6,-23.7,236.5,-3.2,-29.2,25.6
G585,652,1636,219.1,-3.3,217.5,11.9,-38.6,47.5
G584,653,1634,184.5,-45.4,208.1,-39.2,-63.5,20.5
G583,654,1632,193.5,-52.8,221.5,-32.5,-50.2,17.8
G582,655,1630,190.7,-37.6,209.2,-21.7,-56.6,37.9
G577,656,1620,181,-37.1,202.3,-26,-63.3,43.2
G576,657,1618,208.4,-34.5,220.1,-11.4,-44.8,33.7
G575,658,1616,216.9,-34.4,226.4,-8.1,-38.8,30.3
G574,659,1612,199,-40.3,216.6,-20.2,-50.4,31.4
G573,660,1610,199.9,-54.1,226,-31.1,-46,16
G572,661,1608,211.6,-55.1,233.1,-28.2,-39.1,13.9
G571,662,1606,231.8,-35,238,-4.2,-28.3,24.1
G570,663,1601.5,191,-76.6,244.1,-49.3,-35.6,351.3
G568,664,1597,181.3,-5.3,183.1,-0.1,-59.1,92.3
G567,665,1593.5,200.1,-26.3,209.6,-7.9,-51.3,46.3
G565,666,1589.5,291.3,-52.1,281.4,-19.5,4.5,353.8
G564,667,1587.5,292.9,-68.4,276.6,-35.2,-4.4,348.3
G563,668,1585.5,219.6,13,207,35.7,-33.1,67.6
G562,669,1583.5,224.5,-36.6,233,-7.7,-33.4,25.7
G561,670,1581.5,223.9,-38.8,233.3,-9.9,-33.8,24.4
G559,671,1577.5,177.1,-25.2,191.4,-18.6,-66.2,69.4
G558,672,1575.5,225.9,-54.4,240.9,-23.8,-31.2,12.2
G557,673,1573.5,247.5,-66.4,261.6,-34,-16.4,356.1
G556,674,1571.5,247.2,-59.6,259.1,-27.5,-16.6,1
G555,675,1569.5,186.7,-61.4,230.7,-45.7,-45.9,359.8
G554,676,1567.5,253.8,-23.5,255.3,8.7,-10.3,19.7
G551,677,1562,227.2,-51.5,244.1,-24.2,-28.6,10.3
G550,678,1560,235.9,-67,256.6,-36.2,-21.3,356.9
G549,679,1558,135.9,-76.3,252.3,-64.7,-33.5,330
G548,680,1556,241.4,-70,260.4,-38.1,-18.7,354
G547,681,1554,237.4,-82.2,266.8,-49.5,-17.5,342.9
G545,682,1550,217.8,-43.7,234.2,-20.3,-36,18.2
G544,683,1548,202,-60.4,236.5,-39.5,-39.3,3.4
G543,684,1546,305.8,-28.4,301.7,1.3,27.2,351.3
G542,685,1544,290.8,-42.1,286.5,-9.1,11.7,355.7
G541,686,1542,262,-75.8,270,-42,-12.2,347.2
G540,687,1540,277.6,-17.6,277.6,16.3,10.8,11.6
G539,688,1537.9,178.4,-35.8,202,-31.9,-65.8,37.4
G538,689,1535.9,216.9,-61,244.1,-35.3,-31.6,3.2
G537,690,1533.9,214,-49.8,235.2,-27,-37,13.4
G536,691,1531.9,223.5,-35.6,234.3,-11.1,-33.3,23.1
G535,692,1529.9,247.1,-53.6,257.2,-21.8,-16.7,4.9
G534,693,1527.9,224.6,-18.2,227.6,5,-33.8,35.7
G533,694,1525.9,245.9,-4.2,242.6,25.6,-15.4,34.7
G530,695,1519.6,301.5,-51.5,291.3,-24.2,11.1,346.2
G529,696,1514.8,38.9,49.6,55.8,27.4,36.6,192.8
G528,697,1512.8,37.2,55.7,58,33.3,36.3,187.6
G526,698,1508.8,290.2,11.2,295.6,39.1,32.5,16.3
G523,699,1503.5,63.2,62.7,75.9,34.5,21.4,178.4
G522,700,1501.5,39.6,61.7,63.1,38,33.3,181.7
G521,701,1499.5,297.2,-75.9,280,-47,-6.4,339.1
G519,702,1495.5,54.4,21.6,57.3,-3.1,26.7,207.9
G518,703,1493.5,50.3,57.7,66.8,32,28.4,184.2
G517,704,1491.5,5.6,37.2,25.2,29.5,62.5,215.7
G516,705,1489.5,104.9,29.2,103.1,-0.1,-11.2,181.5
G515,706,1487.5,61.9,38.8,68.3,11.7,21.6,194.5
G514,707,1485.5,89.8,67.4,90.4,37.4,10.2,169.9
G513,708,1483.5,61.6,29.3,65.6,2.5,21.5,200.3
G512,709,1481.5,123.6,49.4,113.3,22.6,-13.2,165.7
G511,710,1479.5,36.1,14.8,38.2,-4.4,40.9,223.5
G510,711,1477.5,31.1,47.5,48.6,27,42.6,197.4
G509,712,1475.5,353.4,14.8,1.6,15.1,66.8,274.3
G508,713,1473.5,207.2,-68.6,240.8,-45.8,-37.4,355.9
G507,714,1471.5,209.4,-67.8,241.1,-44.7,-36.8,356.9
G506,715,1469.5,180.1,-50,210.1,-40.7,-62.2,16.7
G505,716,1467.5,245,-37.1,249.7,-8.9,-19.7,15
G504,717,1465.5,200.1,-42.1,218.1,-26.2,-51.1,25.6
G503,718,1463.5,335.8,-37.9,320.3,-22.5,32.9,326.4
G502,719,1461.5,173.9,-45.3,201.9,-39.8,-68.8,25.9
G501,720,1459.5,191.8,-37.8,209.5,-25.9,-57.9,34.1
G499,721,1455.5,180.2,-65.8,226.9,-51.4,-50.3,353.9
G497,722,1451.5,301.6,-51.5,290.3,-24.7,10.1,346.5
G496,723,1449.5,220.9,-42.2,232.9,-19.2,-36.7,19.6
G495,724,1447.5,197.4,-40.1,214.9,-25.6,-53.5,28.9
G494,725,1445.5,209.5,-30.4,219.1,-12.3,-45.9,34.1
G492,726,1442,88.8,-52.7,70.2,-79.9,-22.7,258.3
G491,727,1440.7,59.4,25.8,63.5,2.6,23.2,201.5
G490,728,1439.5,49.8,40.7,60.6,19.2,30.2,195
G489,729,1437.5,10.6,47.1,36.1,38.4,56.5,195.5
G488,730,1436,356.7,62.8,44.1,55.1,53.1,168.8
G483,731,1427.5,46.2,24.1,51.5,4.8,33.7,208.2
G481,732,1423.5,19.1,53.7,46.7,40.5,48,187.1
G480,733,1421.5,28.2,39.8,44,25.4,46,201.7
G479,734,1419.5,327.5,-6.4,328.4,11.1,51.1,334.4
G478,735,1417.5,59.8,37.1,67,13.3,23.2,194.4
G476,736,1413.5,32.4,47.7,51.4,30.9,41.3,192.9
G473,737,1407.5,56.5,15.7,58,-6.2,25.2,208.9
G472,738,1405.5,212.9,-51.3,233.8,-33.8,-40.1,9.4
G471,739,1403.5,217.2,-51.1,236.5,-32.3,-37.3,9.1
G470,740,1401.5,199.3,-45.9,221.3,-34,-50.8,16.6
G469,741,1399.5,197.4,3.4,194.5,8.3,-52.3,74.2
G467,742,1395.5,335.8,51.4,15.4,56.9,75.7,156.6
G466,743,1393.5,236.3,-70.9,258.6,-45.8,-22.7,349.2
G465,744,1392,244.6,-45.4,253,-20.3,-19.9,7.8
G464,745,1391,178.6,-46.3,206.8,-42.9,-65.6,15.7
G462,746,1387,219.1,-50.3,238.1,-29.4,-35.2,10.3
G461,747,1385,59.5,-77.1,297.7,-69.1,-9.5,311.3
G459,748,1381,211.3,-52.8,234.6,-34.1,-39.5,8.8
G458,749,1379,179.9,-57.9,221.4,-49.7,-54.6,357.9
G457,750,1378,214.7,-56.4,239.1,-36.1,-36.1,5
G456,751,1376,347,49.7,24,49.9,69.4,182.5
G455,752,1374,335.9,49.8,16.3,55.4,75.5,163.4
G454,753,1373,357.6,31.7,16.4,31.2,69.5,227.7
G452,754,1369,295.4,-1.1,298,27.1,31.2,6.9
G450,755,1365,228.6,-42.7,240.9,-19.8,-30.1,14.5
G449,756,1363,274.6,-51.5,275.1,-21.5,-1.4,356.1
G448,757,1361,221.1,-64.9,248.4,-41.4,-29.7,356.8
G447,758,1359,321,-37.8,311.2,-14.5,29.7,337.5
G446,759,1357,231.5,-27.7,237.5,-5,-28.9,24.1
G445,760,1355,194.4,-43.9,217.5,-33.2,-53.8,20
G444,761,1353,120.1,0.9,123.1,-26.3,-35.3,183.7
G442,762,1349,279.2,-50.4,278.2,-20.4,1.5,355.1
G441,763,1347,235.3,-31,241.7,-6.9,-25.9,20.5
G440,764,1345,200.4,-69.4,243.9,-50,-35.9,350.6
G439,765,1343,339.1,14.1,352.1,28.5,72.7,304.9
G438,766,1341,218.5,-31.9,230.2,-11.1,-36.7,25.9
G437,767,1339,202.6,-39.3,223.3,-24.5,-46.3,22.8
G436,768,1337,195.9,-52.9,229.8,-37.7,-44.6,8.2
G434,769,1333,274,-32.3,274.8,2.6,4.8,7
G432,770,1329,268.6,-19.4,268.8,15.1,2.9,15.5
G430,771,1325,218,-52.8,241.8,-29,-31.9,8.6
G429,772,1323,203.2,-42.8,226.1,-27,-44.7,19.1
G428,773,1321,205,-18.2,210.7,-3.5,-48.9,47.4
G426,774,1317,271.1,-27.8,271.1,4.2,2,9.5
G425,775,1315,172.1,-46.4,204.3,-42.1,-67.5,19.2
G424,776,1313,259.5,-47.5,263,-15.9,-10.1,4.9
G418,777,1299,252.4,-38.2,256.4,-7.4,-13.6,12.1
G415,778,1291,201.4,-40.1,219.4,-24,-49.4,26.2
G414,779,1289,223.5,-10,223.1,11.8,-34.8,42.5
G413,780,1287,242.3,-6.2,240.1,21.8,-18.6,34.5
G411,781,1283,218.6,-29.6,226.9,-7.9,-38.4,30
G410,782,1281,211.9,7.6,204,22.4,-41.7,66.1
G409,783,1279,238,-31.1,243.1,-3.4,-23.8,21.3
G408,784,1277,174.6,-48.2,207.6,-42.2,-64.8,16.3
G407,785,1275,232.7,-63.1,251,-34.6,-25.6,0.5
G405,786,1271,215.5,-41.9,230.3,-20.1,-39.2,20.8
G404,787,1269,188,-7.8,191.1,-2.9,-58.8,76.5
G403,788,1267,201.3,-56.9,230.7,-37.6,-43.8,7.9
G402,789,1265,178.6,-24.9,192.9,-22.1,-67.2,63.9
G401,790,1263,49,-70,310.2,-68.7,-3.6,306.4
G400,791,1261,318.6,-79.4,283.3,-50.1,-5.4,335.3
G399,792,1259,204.8,-57.9,233.3,-37.2,-41.4,6.9
G398,793,1257,96.6,40.2,95.3,8.3,-2.4,182
G396,794,1253,188,-50.2,217.7,-37.6,-54.9,15.3
G395,795,1251,199.5,-11.3,202.6,-0.1,-52.5,59.2
G391,796,1241,223.4,-39.5,232.8,-9.2,-34,25.1
G390,797,1239,209.7,-35.8,221.3,-10.4,-43.6,33.2
G389,798,1237,222,-28.7,227.7,0.4,-35.2,33.5
G388,799,1235,238.3,-25.2,240.4,8.2,-22.7,28.2
G387,800,1233,122.9,-65.5,217.9,-67,-56,323.7
G384,801,1226,247.2,-75.3,257.2,-39.6,-21.8,354.4
G383,802,1224,317.6,-16.9,314.4,4.7,38.4,343.9
G382,803,1222,208.3,-51.7,228.6,-24.8,-42,18.9
G381,804,1220,176.3,-45.6,205.6,-33.2,-63.5,31.1
G380,805,1218,214.8,-51.1,232.2,-22.2,-38.2,18.3
G379,806,1216,179,5.4,174.4,8.5,-54.5,107.9
