sample,#,depth,Dg,Ig,Ds,Is,Lat,Lon
G1257,89,3099.1,350.7,44,27.8,26.1,59.3,215.9
G1256,90,3097.1,343,58.1,40.5,36.2,52.1,195
G1255,91,3095.1,354.8,20.2,9.1,9.8,62.7,258.2
G1254-2,92,3093.1,357.3,22.7,12.7,9.5,61.3,251.1
G1253,93,3091.1,348.8,28.4,12.7,19,65.8,246.3
G1252,94,3089.1,348.1,49.6,32.4,30.4,57.1,207
G1251-1,95,3087.1,319.1,59.3,39.9,48.6,55.7,180
G1250-2,96,3085.1,5.5,35.8,27.5,12.2,54.3,226.4
G1249,97,3083.1,328.7,51.9,30.2,42.6,62.7,193.8
G1248,98,3081.1,333.2,30.2,9.9,38.4,77.2,232.1
G1247,99,3079.1,5.9,21.5,20.3,9.3,57.6,238.1
G1246,100,3078.1,3.5,16.4,14.8,7.9,59.7,247.9
G1245,101,3076.1,350,21.1,10.6,20.9,67.7,249.9
G1244,102,3074.1,34.3,39.2,50.1,4.2,34.7,209.5
G1243,103,3072.1,351.5,49.1,38.6,34,53.1,198.4
G1242,104,3070.1,352.2,50.4,40.2,34.2,51.8,197.1
G1241,105,3068.1,2.8,39.8,33.9,22.5,53.3,212.3
G1240,106,3066.1,124.8,-0.5,137.6,-39.4,-51.4,186.1
G1239,107,3063.7,348.9,23.1,11.7,22.8,68.2,246.1
G1238,108,3062.1,196.2,-24.7,208.9,-4.3,-50.4,49.1
G1237,109,3061.1,158.5,-13.8,177.1,-25.2,-72.2,107.6
G1236-1,110,3058.1,174.4,-42.3,212.5,-29.2,-56.7,28
G1235,111,3056.1,196.1,-8.4,196.9,6.6,-52.2,70
G1234,112,3054.1,152,-43.2,205.3,-44.6,-67.4,13.7
G1233,113,3052.3,183.6,-43.9,217.9,-24.3,-50.7,27.2
G1232,114,3050.3,178.2,-44.6,216.3,-27.9,-53.1,25.7
G1231-2,115,3048.6,172.9,-2.6,177.4,-7.1,-62.6,103.9
G1230,116,3046.1,218.2,-15.7,219.7,11.9,-37.1,45.5
G1229,117,3044.1,162.7,-64.8,244.8,-45.3,-33.9,354.9
G1228,118,3042.1,130.8,-70.6,260.2,-54.1,-24.3,341.1
G1227,119,3040.1,170.6,-23.2,196.6,-27.5,-67.7,51.5
G1226,120,3038.5,139.9,-13.6,165.2,-45.3,-76.4,174.7
G1225,121,3036.5,207.9,-60.7,247.5,-24.8,-25.8,8.2
G1224-1,122,3034.5,165.1,-38.9,210.5,-39.1,-61.4,18.7
G1223,123,3032.5,172,-23.5,197.7,-26.5,-66.6,50.4
G1222,124,3030.5,44.8,33.5,56.1,-2.3,27.9,208.4
G1220,125,3026.5,172.4,20.4,162.6,1.4,-54.4,129.2
G1219,126,3024.5,10.6,-20.1,353.7,-14.4,51.4,288.3
G1218,127,3022.5,167.2,63.2,125.9,26,-21.6,156.1
G1217,128,3020.5,161.1,24.4,152.4,-3.5,-50.9,145.6
G1216,129,3018.5,348,57,54.3,42.3,41.9,181.9
G1215-1,130,3016.5,10.4,11.4,18.4,5.3,56.9,243.1
G1214,131,3014.5,46,13.2,43.9,-18.7,31.6,224.9
G1211-1,132,3008.5,339.3,67.9,69.4,46.3,30.4,172.3
G1210,133,3006.5,1.6,12.5,13.9,12.8,62.4,247.3
G1209,134,3004.5,16.5,15.4,25.3,3.2,52.2,234.1
G1208,135,3002.5,329.6,41.9,29.4,51.2,65,178.2
G1207,136,3000.5,7.4,25.6,28.1,16.2,55.4,223.1
G1206,137,2998.5,8.8,25.3,28.6,15,54.6,223.3
G1205,138,2996.5,9.5,48,49.3,27,42,197
G1204,139,2994.5,7.6,30.7,32.5,19,53.2,216.2
G1203,140,2992.5,12.8,42.2,45.2,22,44,203.1
G1202,141,2990.5,0.1,25.7,24.2,21.7,60.2,224.2
G1201,142,2988,1.3,27,26,21.4,58.9,222
G1200,143,2986,352.3,16.1,11.2,22.1,68,247.7
G1199,144,2984,11.9,5.3,14.6,0.3,56.3,251.3
G1198,145,2982,9.8,-1.7,7.8,-2.5,57.1,263.9
G1196-2,146,2978,321.2,34.3,13.9,55.3,77.4,161.3
G1195,147,2976,304.4,63.2,73.5,61.1,31.7,154.9
G1194,148,2974,2.3,40,38.7,27.6,51.1,204
G1193,149,2972,0.6,44,42.1,30.6,49.1,199
G1192,150,2970,339.2,32.6,20.5,40.9,70.3,205.5
G1191-1,151,2968.5,22.9,32.2,42,9.6,42.8,213.1
G1190,152,2966.5,254.6,70.6,111.6,56.1,3,146.6
G1189,153,2964.5,357.7,33.9,30.6,27.7,57.7,211.3
G1188-2,154,2962.5,8.2,25.5,28.5,15.5,54.9,223.1
G1187,155,2960.5,15.9,66.4,70,32.3,25.8,182.5
G1186,156,2958.5,359.1,20.1,18.7,19.2,62.8,234.7
G1185-1,157,2956.5,37.3,32.1,50.4,0.7,33.4,211
G1184,158,2955.5,38.4,-3.5,25.5,-25.6,39.4,245.5
G1183,159,2952.5,39.2,43.6,59.3,8.2,28.3,201.4
G1182-2,160,2950.5,4,36.1,35.6,24.5,52.6,209.1
G1181,161,2948.5,358.8,38.2,35.4,29.2,54.3,205.4
G1180,162,2946.5,335.9,44.4,34.7,47.3,59.9,183.9
G1179,163,2944.5,355,50.5,47.4,36.6,46.3,190.5
G1178-1,164,2942.5,349,23,15.6,28.6,68.9,232.3
G1177,165,2940.5,15.4,1.1,13.5,-5,54.3,254.8
G1176,166,2938.5,284.7,-5.6,287.5,45,27.4,24.4
G1175,167,2936.5,22.7,12.3,26.8,-3.4,48.7,235.3
G1174,168,2934.5,351,36.2,30,33.7,60.2,205.8
G1173,169,2932.5,9.3,35.8,37.8,20.7,49.6,209.9
G1172-2,170,2930.5,6.9,35.1,36.1,21.9,51.4,210.6
G1171-2,171,2928.5,24.3,35.1,45,10.6,40.7,210.1
G1170,172,2926.5,3.4,36.9,36.1,25.3,52.5,208
G1169,173,2924.5,1.3,44,42.3,30.2,48.8,199.2
G1168-2,174,2922.5,4.7,25,23,14.2,58,231.2
G1167,175,2920.5,338.6,53.5,41.7,44.9,53.4,184.4
G1166,176,2918.5,348.8,30.9,19.2,29,66.7,225.1
G1165,177,2916.5,41.8,55.2,65,15.2,25.4,194.6
G1164,178,2914.5,27.3,55.3,58.6,20.8,32.4,195.3
G1163,179,2912.5,8.1,27.5,27,13.4,55.1,226.3
G1161-1,180,2908.5,343.8,42.4,29,38.1,62.4,201.3
G1161-2,181,2908.5,338.3,40.3,24.3,41,67.2,201.2
G1160,182,2906.5,333.7,29.8,9.9,39.5,77.8,229.6
G1159,183,2904.1,299.9,36.3,359,67.8,70.1,96.4
G1158,184,2902.1,343.9,34,19.8,34.2,68.4,217.7
G1157,185,2900.1,344.6,44,31.1,38.2,60.7,199.4
G1156,186,2898.1,345.5,40.5,27.5,36,63,205.5
G1155-1,187,2896.1,358.1,43.7,36.1,29.3,53.7,204.7
G1154,188,2894.1,340.3,43,28.4,40.6,63.7,198.2
G1153,189,2892.1,356.4,25.5,18.6,20.4,63.3,234
G1152,190,2889.6,7.1,56,51.7,30.4,40.9,193.1
G1151,191,2888.6,9.1,48.4,45.2,25.4,45,200.8
G1150,192,2886.6,4.3,28.4,24.5,20.2,59.4,225
