tab	samples												
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
CF-1	CF	1.1					137.5	0	9.98	166.5	-2	This study	SO-CMD-NORTH
CF-2	CF	1.5					22.5	0	9.98	166.5	-7	This study	SO-CMD-NORTH
CF-3	CF	1.8					125.5	0	9.98	166.5	-4	This study	SO-CMD-NORTH
CF-4	CF	2.2					-37.5	0	9.98	166.5	-2	This study	SO-CMD-NORTH
CF-5	CF	2.6					10.5	0	9.98	166.5	-4	This study	SO-CMD-NORTH
CF-6	CF	3.3					-15.5	0	9.98	166.5	-3	This study	SO-CMD-NORTH
CF-7	CF	3.7					-5.5	0	9.98	166.5	-8	This study	SO-CMD-NORTH
CF-8	CF	4.1					14.5	0	9.98	166.5	-4	This study	SO-CMD-NORTH
CF-9	CF	5.4					94.5	0	9.98	166.5	-44	This study	SO-CMD-NORTH
CF-10	CF	5.8					107.5	0	9.98	166.5	-80	This study	SO-CMD-NORTH
CF-11	CF	6.2					98.5	0	9.98	166.5	-65	This study	SO-CMD-NORTH
CF-12	CF	6.7					102.5	0	9.98	166.5	-67	This study	SO-CMD-NORTH
CF-13	CF	7.1					94.5	0	9.98	166.5	-56	This study	SO-CMD-NORTH
CF-14	CF	7.6					90.5	0	9.98	166.5	-49	This study	SO-CMD-NORTH
CF-15	CF	8					95.5	0	9.98	166.5	-79	This study	SO-CMD-NORTH
CF-16	CF	8.2					12.5	0	9.98	166.5	-84	This study	SO-CMD-NORTH
CF-17	CF	8.7					108.5	0	9.98	166.5	-82	This study	SO-CMD-NORTH
CF-18	CF	9.1					102.5	0	9.98	166.5	-92	This study	SO-CMD-NORTH
CF-19	CF	10.7					-38.2	0	9.98	166.5	-5	This study	SO-CMD-NORTH
CF-20	CF	11.1					-32.5	0	9.98	166.5	-9	This study	SO-CMD-NORTH
CF-21	CF	11.3					-68	0	9.98	166.5	-5	This study	SO-CMD-NORTH
CF-22	CF	11.4					-17.5	0	9.98	166.5	-8	This study	SO-CMD-NORTH
CF-23	CF	11.8					-49.5	0	9.98	166.5	-10	This study	SO-CMD-NORTH
CF-24	CF	13					-33.5	0	9.98	166.5	-16	This study	SO-CMD-NORTH
CF-25	CF	15					-86	0	9.98	166.5	-5	This study	SO-CMD-NORTH
CF-26	CF	15.5					-41.3	0	9.98	166.5	-9	This study	SO-CMD-NORTH
CF-27	CF	16					195.5	0	9.98	166.5	-83	This study	SO-CMD-NORTH
CF-28	CF	16.4					226.1	0	9.98	166.5	-55	This study	SO-CMD-NORTH
CF-29	CF	17.2					-15.5	0	9.98	166.5	-8	This study	SO-CMD-NORTH
CF-30	CF	17.8					11.5	0	9.98	166.5	-18	This study	SO-CMD-NORTH
CF-31	CF	18					-72.5	0	9.98	166.5	-2	This study	SO-CMD-NORTH
CF-33	CF	18.6					174.5	0	9.98	166.5	-55	This study	SO-CMD-NORTH
CF-35	CF	19.2					185.5	0	9.98	166.5	-47	This study	SO-CMD-NORTH
CF-36	CF	19.6					185.5	0	9.98	166.5	-75	This study	SO-CMD-NORTH
CF-37	CF	20					102.5	0	9.98	166.5	-62	This study	SO-CMD-NORTH
CF-38	CF	20.2					176.5	0	9.98	166.5	-60	This study	SO-CMD-NORTH
CF-39	CF	20.3					182.5	0	9.98	166.5	-72	This study	SO-CMD-NORTH
CF-40	CF	20.5					182.5	0	9.98	166.5	-88	This study	SO-CMD-NORTH
CF-41	CF	20.6					179.5	0	9.98	166.5	-73	This study	SO-CMD-NORTH
CF-43	CF	20.9					185.5	0	9.98	166.5	-57	This study	SO-CMD-NORTH
CF-44	CF	21.2					179.5	0	9.98	166.5	-57	This study	SO-CMD-NORTH
CF-45	CF	21.7					177.5	0	9.98	166.5	-50	This study	SO-CMD-NORTH
CF-46	CF	22.2					182.5	0	9.98	166.5	-68	This study	SO-CMD-NORTH
CF-47	CF	22.3					186.5	0	9.98	166.5	-80	This study	SO-CMD-NORTH
CF-48	CF	22.4					179.5	0	9.98	166.5	-64	This study	SO-CMD-NORTH
CF-49	CF	22.8					172.5	0	9.98	166.5	-65	This study	SO-CMD-NORTH
CF-50	CF	23.1					177.5	0	9.98	166.5	-70	This study	SO-CMD-NORTH
CF-51	CF	23.4					182.5	0	9.98	166.5	-72	This study	SO-CMD-NORTH
CF-52	CF	24.6					267.8	0	9.98	166.5	-72	This study	SO-CMD-NORTH
