tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
CF-10a		CF-10																	This study	LP-NOMAG				Cutface Creek	CF
CF-10a	CF-10a_LP-DIR-T	CF-10		ht	293.1	28.8	3	9	0	7.7	16.0	953	933	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-10a	CF-10a_LP-DIR-T	CF-10		mt	190.2	-45.1	3	9	-1	6.7	9.0	883	773	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-10a	CF-10a_LP-DIR-T	CF-10		lt	199.9	4.7	3	3	-1	27.2	5.3	473	273	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-10a	CF-10a_LP-DIR-T	CF-10		ht	187.8	-50.8	3	9	-1	7.7	16.0	953	933	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-10a	CF-10a_LP-DIR-T	CF-10		ht	288.0	34.4	3	9	100	7.7	16.0	953	933	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-10a	CF-10a_LP-DIR-T	CF-10		lt	18.7	78.7	3	3	100	27.2	5.3	473	273	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-10a	CF-10a_LP-DIR-T	CF-10		mt	290.1	40.1	3	9	100	6.7	9.0	883	773	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-10a	CF-10a_LP-DIR-T	CF-10		lt	3.9	69.6	3	3	0	27.2	5.3	473	273	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-10a	CF-10a_LP-DIR-T	CF-10		mt	296.2	34.2	3	9	0	6.7	9.0	883	773	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		ht	293.0	35.8	3	9	0	6.6	20.2	952	923	K		hargrave 2020-11-22 16:19:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-11a		CF-11																	This study	LP-NOMAG				Cutface Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		mt	285.0	49.0	3	9	100	6.0	9.0	883	773	K		hargrave 2020-11-22 16:19:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		lt	20.9	78.6	3	3	100	25.2	15.3	473	273	K		hargrave 2020-11-22 16:19:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		ht	286.3	41.2	3	9	100	6.6	20.2	952	923	K		hargrave 2020-11-22 16:19:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		mt	293.8	43.5	3	9	0	6.0	9.0	883	773	K		hargrave 2020-11-22 16:19:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		ht	193.3	-27.7	3	9	-1	6.6	20.2	952	923	K		hargrave 2020-11-22 16:19:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		mt	191.7	-20.1	3	9	-1	6.0	9.0	883	773	K		hargrave 2020-11-22 16:19:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		lt	202.1	22.2	3	3	-1	25.2	15.3	473	273	K		hargrave 2020-11-22 16:19:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		lt	5.1	69.6	3	3	0	25.2	15.3	473	273	K		hargrave 2020-11-22 16:19:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-12a	CF-12a_LP-DIR-T	CF-12		mt	179.9	-20.0	2	9	-1	8.9	8.1	883	773	K		hargrave 2020-11-22 16:20:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-12a	CF-12a_LP-DIR-T	CF-12		ht	314.6	43.5	2	6	100	11.4	20.7	949	923	K		hargrave 2020-11-22 16:20:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-12a	CF-12a_LP-DIR-T	CF-12		mt	282.3	47.0	2	9	0	8.9	8.1	883	773	K		hargrave 2020-11-22 16:20:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-12a	CF-12a_LP-DIR-T	CF-12		ht	211.7	-22.8	2	6	-1	11.4	20.7	949	923	K		hargrave 2020-11-22 16:20:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-12a	CF-12a_LP-DIR-T	CF-12		ht	318.6	34.8	2	6	0	11.4	20.7	949	923	K		hargrave 2020-11-22 16:20:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-12a		CF-12																	This study	LP-NOMAG				Cutface Creek	CF
CF-12a	CF-12a_LP-DIR-T	CF-12		mt	271.6	50.5	2	9	100	8.9	8.1	883	773	K		hargrave 2020-11-22 16:20:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-13a		CF-13																	This study	LP-NOMAG				Cutface Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		ht	182.8	-24.4	3	5	-1	6.4	22.8	948	933	K		hargrave 2020-11-24 21:45:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		ht	277.5	31.6	3	5	0	6.4	22.8	948	933	K		hargrave 2020-11-24 21:45:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		mt	191.8	-12.6	3	11	-1	10.6	11.5	893	723	K		hargrave 2020-11-24 21:45:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		lt	355.6	69.7	3	3	0	25.4	3.7	473	273	K		hargrave 2020-11-24 21:45:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		mt	290.1	42.1	3	11	0	10.6	11.5	893	723	K		hargrave 2020-11-24 21:45:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		ht	271.2	34.7	3	5	100	6.4	22.8	948	933	K		hargrave 2020-11-24 21:45:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		lt	3.9	79.4	3	3	100	25.4	3.7	473	273	K		hargrave 2020-11-24 21:45:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		mt	281.5	47.0	3	11	100	10.6	11.5	893	723	K		hargrave 2020-11-24 21:45:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-13a	CF-13a_LP-DIR-T	CF-13		lt	203.0	28.7	3	3	-1	25.4	3.7	473	273	K		hargrave 2020-11-24 21:45:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-14a	CF-14a_LP-DIR-T	CF-14		lt	357.6	62.0	3	3	0	35.2	2.6	473	273	K		hargrave 2020-11-24 21:46:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-14a		CF-14																	This study	LP-NOMAG				Cutface Creek	CF
CF-14a	CF-14a_LP-DIR-T	CF-14		lt	214.5	34.2	3	3	-1	35.2	2.6	473	273	K		hargrave 2020-11-24 21:46:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-14a	CF-14a_LP-DIR-T	CF-14		mt	191.1	-16.8	3	9	-1	8.4	9.9	883	773	K		hargrave 2020-11-24 21:46:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-14a	CF-14a_LP-DIR-T	CF-14		ht	287.1	16.3	3	10	0	6.0	13.8	952	923	K		hargrave 2020-11-24 21:46:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-14a	CF-14a_LP-DIR-T	CF-14		ht	198.6	-30.6	3	10	-1	6.0	13.8	952	923	K		hargrave 2020-11-24 21:46:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-14a	CF-14a_LP-DIR-T	CF-14		ht	284.1	21.2	3	10	100	6.0	13.8	952	923	K		hargrave 2020-11-24 21:46:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-14a	CF-14a_LP-DIR-T	CF-14		lt	3.3	71.7	3	3	100	35.2	2.6	473	273	K		hargrave 2020-11-24 21:46:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-14a	CF-14a_LP-DIR-T	CF-14		mt	277.0	35.2	3	9	100	8.4	9.9	883	773	K		hargrave 2020-11-24 21:46:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-14a	CF-14a_LP-DIR-T	CF-14		mt	283.0	31.2	3	9	0	8.4	9.9	883	773	K		hargrave 2020-11-24 21:46:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-15a	CF-15a_LP-DIR-T	CF-15		mt	198.7	-29.7	3	10	-1	5.6	4.8	883	723	K		hargrave 2020-11-22 16:28:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-15a	CF-15a_LP-DIR-T	CF-15		lt	206.6	7.8	3	3	-1	23.6	3.9	473	273	K		hargrave 2020-11-22 16:28:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-15a	CF-15a_LP-DIR-T	CF-15		ht	220.8	-37.0	3	6	-1	6.5	15.1	948	923	K		hargrave 2020-11-22 16:28:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-15a	CF-15a_LP-DIR-T	CF-15		lt	0.9	63.6	3	3	0	23.6	3.9	473	273	K		hargrave 2020-11-22 16:28:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-15a	CF-15a_LP-DIR-T	CF-15		ht	311.9	28.6	3	6	0	6.5	15.1	948	923	K		hargrave 2020-11-22 16:28:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-15a	CF-15a_LP-DIR-T	CF-15		ht	308.1	36.6	3	6	100	6.5	15.1	948	923	K		hargrave 2020-11-22 16:28:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-15a	CF-15a_LP-DIR-T	CF-15		mt	290.0	51.7	3	10	100	5.6	4.8	883	723	K		hargrave 2020-11-22 16:28:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-15a	CF-15a_LP-DIR-T	CF-15		mt	298.9	45.5	3	10	0	5.6	4.8	883	723	K		hargrave 2020-11-22 16:28:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-15a	CF-15a_LP-DIR-T	CF-15		lt	8.8	73.0	3	3	100	23.6	3.9	473	273	K		hargrave 2020-11-22 16:28:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-15a		CF-15																	This study	LP-NOMAG				Cutface Creek	CF
CF-16a	CF-16a_LP-DIR-T	CF-16		mt	281.6	40.4	2	10	100	1.6	6.1	893	773	K		hargrave 2020-11-24 21:48:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-16a		CF-16																	This study	LP-NOMAG				Cutface Creek	CF
CF-16a	CF-16a_LP-DIR-T	CF-16		ht	245.2	9.9	2	9	-1	1.7	19.4	954	937	K		hargrave 2020-11-24 21:48:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-16a	CF-16a_LP-DIR-T	CF-16		mt	234.8	8.3	2	10	-1	1.6	6.1	893	773	K		hargrave 2020-11-24 21:48:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-16a	CF-16a_LP-DIR-T	CF-16		ht	290.7	25.4	2	9	0	1.7	19.4	954	937	K		hargrave 2020-11-24 21:48:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-16a	CF-16a_LP-DIR-T	CF-16		mt	288.4	35.6	2	10	0	1.6	6.1	893	773	K		hargrave 2020-11-24 21:48:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-16a	CF-16a_LP-DIR-T	CF-16		ht	286.2	30.7	2	9	100	1.7	19.4	954	937	K		hargrave 2020-11-24 21:48:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-17a	CF-17a_LP-DIR-T	CF-17		mt	281.6	51.8	3	10	100	6.8	5.9	893	773	K		hargrave 2020-11-24 21:50:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-17a	CF-17a_LP-DIR-T	CF-17		lt	38.3	80.5	3	3	100	27.4	12.0	473	273	K		hargrave 2020-11-24 21:50:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-17a	CF-17a_LP-DIR-T	CF-17		ht	286.7	37.0	3	10	100	5.4	15.1	954	933	K		hargrave 2020-11-24 21:50:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	b			Cutface Creek	CF
CF-17a	CF-17a_LP-DIR-T	CF-17		mt	291.7	46.7	3	10	0	6.8	5.9	893	773	K		hargrave 2020-11-24 21:50:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-17a		CF-17																	This study	LP-NOMAG				Cutface Creek	CF
CF-17a	CF-17a_LP-DIR-T	CF-17		lt	197.5	5.7	3	3	-1	27.4	12.0	473	273	K		hargrave 2020-11-24 21:50:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-17a	CF-17a_LP-DIR-T	CF-17		mt	182.7	-35.2	3	10	-1	6.8	5.9	893	773	K		hargrave 2020-11-24 21:50:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-17a	CF-17a_LP-DIR-T	CF-17		ht	185.3	-50.3	3	10	-1	5.4	15.1	954	933	K		hargrave 2020-11-24 21:50:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	b			Cutface Creek	CF
CF-17a	CF-17a_LP-DIR-T	CF-17		lt	12.1	72.5	3	3	0	27.4	12.0	473	273	K		hargrave 2020-11-24 21:50:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-17a	CF-17a_LP-DIR-T	CF-17		ht	292.4	31.5	3	10	0	5.4	15.1	954	933	K		hargrave 2020-11-24 21:50:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	b			Cutface Creek	CF
CF-18a	CF-18a_LP-DIR-T	CF-18		ht	281.7	38.3	3	11	100	15.0	15.6	954	923	K		hargrave 2020-11-24 21:51:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-18a	CF-18a_LP-DIR-T	CF-18		mt	297.6	57.1	3	9	100	9.0	5.9	883	773	K		hargrave 2020-11-24 21:51:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-18a	CF-18a_LP-DIR-T	CF-18		lt	15.3	66.1	3	3	100	23.1	2.2	473	273	K		hargrave 2020-11-24 21:51:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
CF-18a	CF-18a_LP-DIR-T	CF-18		mt	307.1	49.9	3	9	0	9.0	5.9	883	773	K		hargrave 2020-11-24 21:51:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-18a	CF-18a_LP-DIR-T	CF-18		lt	7.5	57.0	3	3	0	23.1	2.2	473	273	K		hargrave 2020-11-24 21:51:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-18a	CF-18a_LP-DIR-T	CF-18		ht	288.1	33.5	3	11	0	15.0	15.6	954	923	K		hargrave 2020-11-24 21:51:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-18a	CF-18a_LP-DIR-T	CF-18		lt	212.9	-4.4	3	3	-1	23.1	2.2	473	273	K		hargrave 2020-11-24 21:51:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-18a	CF-18a_LP-DIR-T	CF-18		ht	188.8	-58.0	3	11	-1	15.0	15.6	954	923	K		hargrave 2020-11-24 21:51:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-18a		CF-18																	This study	LP-NOMAG				Cutface Creek	CF
CF-18a	CF-18a_LP-DIR-T	CF-18		mt	199.8	-37.8	3	9	-1	9.0	5.9	883	773	K		hargrave 2020-11-24 21:51:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-19a	CF-19a_LP-DIR-T	CF-19		ht	338.6	32.3	2	13	-1	3.3	11.3	954	923	K		hargrave 2020-11-24 21:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-19a	CF-19a_LP-DIR-T	CF-19		mt	338.0	40.2	2	11	-1	4.7	8.6	893	723	K		hargrave 2020-11-24 21:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cutface Creek	CF
CF-19a	CF-19a_LP-DIR-T	CF-19		ht	301.5	27.6	2	13	0	3.3	11.3	954	923	K		hargrave 2020-11-24 21:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-19a	CF-19a_LP-DIR-T	CF-19		mt	301.2	35.5	2	11	0	4.7	8.6	893	723	K		hargrave 2020-11-24 21:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cutface Creek	CF
CF-19a	CF-19a_LP-DIR-T	CF-19		ht	297.0	34.4	2	13	100	3.3	11.3	954	923	K		hargrave 2020-11-24 21:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cutface Creek	CF
