localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, rockUnit, timedate, notes
744b895ef0ee869a51869c5ce317c69b, Locality 1, 40fe70101d726df5b49ebb94246a490f, 691740.467321, 5289038.717966, 47.726224, -90.443017, 15T, 212.603455, 5.000000, 3.000000, Joint, 82.000000, 277.000000, 187.000000, -2.666000, Terrace point, Tue Jul 21 07:47:41 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, 9b5c3b4d8339c64b14d9b410e8891b60, 691740.016344, 5289038.656439, 47.726224, -90.443023, 15T, 211.841064, 5.000000, 3.000000, Joint, 87.000000, 136.000000, 46.000000, -2.666000, Terrace point, Tue Jul 21 07:47:38 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, fa83cef092b6644f99e5c6812634f8fa, 691739.126349, 5289039.694742, 47.726233, -90.443034, 15T, 211.940308, 5.000000, 3.000000, Joint, 77.000000, 117.000000, 27.000000, -2.666000, Terrace point, Tue Jul 21 07:47:30 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, ecce41a7b64493d6e23b93c1a0c2b75f, 691737.105864, 5289041.623525, 47.726251, -90.443060, 15T, 213.167419, 5.000000, 3.000000, Joint, 86.000000, 36.000000, 306.000000, -2.666000, Terrace point, Tue Jul 21 07:47:15 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, ba4024b7bae9ff2a162138108fbc9a39, 691740.405378, 5289041.163729, 47.726246, -90.443016, 15T, 212.891846, 5.000000, 3.000000, Joint, 82.000000, 67.000000, 337.000000, -2.666000, Terrace point, Tue Jul 21 07:47:05 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, 15b2cc7aa2d5c48866832703a39a70f5, 691740.405378, 5289041.163729, 47.726246, -90.443016, 15T, 212.891846, 5.000000, 3.000000, Joint, 84.000000, 307.000000, 217.000000, -2.666000, Terrace point, Tue Jul 21 07:47:00 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, ec68ed53056d5c1cda362e15a7716a30, 691741.372664, 5289039.880868, 47.726234, -90.443004, 15T, 214.066406, 5.000000, 3.000000, Joint, 84.000000, 327.000000, 237.000000, -2.666000, Terrace point, Tue Jul 21 07:46:55 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, ec2bc59f4fc6c3851b745a2f1e861752, 691742.712675, 5289042.741294, 47.726260, -90.442985, 15T, 213.276245, 5.000000, 3.000000, Joint, 74.000000, 246.000000, 156.000000, -2.666000, Terrace point, Tue Jul 21 07:46:43 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, e60f21d59fdabfdf9b3285f891234293, 691742.712675, 5289042.741294, 47.726260, -90.442985, 15T, 213.276245, 5.000000, 3.000000, Joint, 72.000000, 250.000000, 160.000000, -2.666000, Terrace point, Tue Jul 21 07:46:40 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, e42bf3b7bb98851754c8802d9700827e, 691741.412179, 5289042.493171, 47.726258, -90.443002, 15T, 212.948425, 5.000000, 3.000000, Joint, 88.000000, 180.000000, 90.000000, -2.666000, Terrace point, Tue Jul 21 07:46:32 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, 0bb7c2ead7bfd7f05b5cb5833e433d65, 691741.361617, 5289042.309663, 47.726256, -90.443003, 15T, 213.364624, 5.000000, 3.000000, Joint, 89.000000, 117.000000, 27.000000, -2.666000, Terrace point, Tue Jul 21 07:46:25 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, b4c50089fee72de364e230ed47e3275d, 691741.787345, 5289047.895411, 47.726306, -90.442995, 15T, 215.139648, 5.000000, 3.000000, Joint, 87.000000, 70.000000, 340.000000, -2.666000, Terrace point, Tue Jul 21 07:46:06 2020, 
744b895ef0ee869a51869c5ce317c69b, Locality 1, 2b901813a828565d86156fbd138493e6, 691741.787345, 5289047.895411, 47.726306, -90.442995, 15T, 215.139648, 5.000000, 3.000000, Joint, 85.000000, 275.000000, 185.000000, -2.666000, Terrace point, Tue Jul 21 07:46:02 2020, 
