sample_name,strat_level
1a,1.1
2a,1.5
3a,1.8
4a,2.2
5a,2.6
6a,3.3
7a,3.7
8a,4.1
9a,5.4
10a,5.8
11a,6.2
12a,6.7
13a,7.1
14a,7.6
15a,8
16a,8.2
17a,8.7
18a,9.1
19a,10.7
20a,11.1
21a,11.3
22a,11.4
23a,11.8
24a,13
25a,15
26a,15.5
27a,16
28a,16.4
29a,17.2
30a,17.8
31a,18
32a,18.5
33a,18.6
34a,18.8
35a,19.2
36a,19.6
37a,20
38a,20.2
39a,20.3
40a,20.5
41a,20.6
42a,20.7
43a,20.9
44a,21.2
45a,21.7
46a,22.2
47a,22.3
48a,22.4
49a,22.8
50a,23.1
51a,23.4
52a,24.6
53a,25
54a,25.4
55a,25.8
56a,26.3
57a,26.9
58a,27.2
59a,27.7
60a,28.3
61a,28.5
62a,28.9
63a,29.3
64a,30
65a,30.3
66a,30.6
67a,31
68a,31.3
69a,31.9
70a,32.2
71a,32.6
72a,32.9
73a,33.3
74a,33.7
75a,33.9
76a,34.2
77a,34.6
78a,35
79a,35.3
80a,35.6
81a,36
82a,36.6
83a,37.1
84a,37.2
85a,37.6
86a,37.9
87a,38.1
88a,38.4
89a,40.6
90a,41.8
91a,42.2
92a,42.4
93a,43.7
94a,43.75
96a,43.85
97a,45.8
98a,46.2
99a,46.6
100a,47
101a,47.5
102a,47.8
103a,48.4
104a,48.9
105a,48.95
106a,49.3
107a,49.8
108a,50.4
109a,50.8
110a,51.7
111a,51.8
112a,52.1
113a,52.2
114a,52.9
115a,53.4
116a,53.9
117a,54.2
118a,54.8
119a,55.2
120a,55.5
121a,55.8
122a,56
123a,56.3
124a,56.5
125a,56.7
126a,57
127a,57.4
128a,57.9
129a,59.6
130a,59.9
131a,60.2
132a,60.7
133a,61.1
134a,62
135a,62.4
136a,62.8
137a,63.3
138a,63.9
139a,64.2
140a,64.7
141a,65.4
142a,65.8
143a,66.2
144a,67.1
145a,67.3
146a,68.5
147a,68.9
148a,69.9
149a,70.3
150a,70.4
151A,70.6
151B,71
152a,71.9
153a,72.6
154a,73
155a,73.5
156a,73.9
157a,75
158a,75.8
159a,76.1
160a,76.8
161a,77.5
162a,78.1
163a,78.7
164a,79.6
165a,80.2
166a,80.6
167a,81.1
168a,81.6
169a,82.4
170a,82.9
171a,83.5
172a,84.1
173a,85
174a,86.1
175a,86.9
176a,87.3
177a,88
178a,88.9
179a,89.7
180a,90.2
181a,91
182a,91.5
183a,92.3
184a,93
185a,94.1
186a,94.6
