f_factors,angles,critical_angles,result
0.4,13.523458383530512,6.4021271667555535,fail
0.405,13.224986600014185,6.396933077100287,fail
0.41000000000000003,12.929808723810348,6.367476914956394,fail
0.41500000000000004,12.637927060209616,6.384664726606393,fail
0.42000000000000004,12.34934591348556,6.343328466345265,fail
0.42500000000000004,12.064071763227147,6.324838815195777,fail
0.43000000000000005,11.782113456194391,6.288984378703744,fail
0.43500000000000005,11.503482415386348,6.394983635275411,fail
0.44000000000000006,11.22819286817768,6.29682983919075,fail
0.44500000000000006,10.956262095559154,6.3171755682248545,fail
0.45000000000000007,10.687710704711005,6.269391748370303,fail
0.45500000000000007,10.42256292733637,6.1532815541190455,fail
0.4600000000000001,10.160846946389578,6.353526528050385,fail
0.4650000000000001,9.902595254042712,6.280994273594521,fail
0.4700000000000001,9.647845043933964,6.31765848073123,fail
0.4750000000000001,9.396638640927105,6.332739725745903,fail
0.4800000000000001,9.149023971766836,6.375416211941337,fail
0.4850000000000001,8.905055080114227,6.364523187345719,fail
0.4900000000000001,8.664792689475169,6.34299873772682,fail
0.4950000000000001,8.428304817442944,6.402610273570506,fail
0.5000000000000001,8.195667444426068,6.283371795351551,fail
0.5050000000000001,7.966965239556733,6.183192634385932,fail
0.5100000000000001,7.742292345697715,6.262132673830894,fail
0.5150000000000001,7.521753224279033,6.251023704895018,fail
0.5200000000000001,7.305463558976093,6.252896809378914,fail
0.5250000000000001,7.0935512148284365,6.307696682990694,fail
0.5300000000000001,6.886157246098825,6.325183769258982,fail
0.5350000000000001,6.683436941758711,6.16981829643622,fail
0.5400000000000001,6.485560891700065,6.337631906122352,fail
0.5450000000000002,6.292716049329617,6.292946069590634,pass
0.5500000000000002,6.105106756801191,6.298549316836936,pass
0.5550000000000002,5.922955687545761,6.25990807546365,pass
0.5600000000000002,5.746504646766021,6.172865864505856,pass
0.5650000000000002,5.576015154190048,6.3513284574389886,pass
0.5700000000000002,5.41176871490956,6.249938212694151,pass
0.5750000000000002,5.254066664306533,6.129028645025729,pass
0.5800000000000002,5.1032294533043,6.281121319563501,pass
0.5850000000000002,4.959595222721125,6.235278570065104,pass
0.5900000000000002,4.82351750369172,6.251094763506618,pass
0.5950000000000002,4.695361879413297,6.279515910825467,pass
0.6000000000000002,4.575501457350923,6.186952442309501,pass
0.6050000000000002,4.464311036523748,6.358616858263606,pass
0.6100000000000002,4.362159917137202,6.19411463173756,pass
0.6150000000000002,4.2694033931862005,6.368406304610595,pass
0.6200000000000002,4.186373092210527,6.22577303176704,pass
0.6250000000000002,4.1133664734443105,6.219301047432201,pass
0.6300000000000002,4.050635951690333,6.3408245341154155,pass
0.6350000000000002,3.9983782570881043,6.332709024449582,pass
0.6400000000000002,3.9567247428809886,6.243984855079589,pass
0.6450000000000002,3.9257333864291444,6.250585668705742,pass
0.6500000000000002,3.905383172264121,6.312380843853022,pass
0.6550000000000002,3.8955713935616103,6.1914427371124265,pass
0.6600000000000003,3.8961141729587885,6.290226707354946,pass
0.6650000000000003,3.9067502170000243,6.1947118858646455,pass
0.6700000000000003,3.9271475252916006,6.177169068125905,pass
0.6750000000000003,3.956912522516193,6.106028113544714,pass
0.6800000000000003,3.9956009063309375,6.151630103848272,pass
0.6850000000000003,4.042729426773353,6.24751392545395,pass
0.6900000000000003,4.097787832560687,6.219010801242495,pass
0.6950000000000003,4.160250318727506,6.1830550665503825,pass
0.7000000000000003,4.229585960196484,6.359191894865954,pass
0.7050000000000003,4.3052677866435864,6.1714532784578,pass
0.7100000000000003,4.386780319228731,6.110534416383723,pass
0.7150000000000003,4.473625531155941,6.1047131717238665,pass
0.7200000000000003,4.565327302196913,6.191259974654365,pass
0.7250000000000003,4.66143451031059,6.315482572251014,pass
0.7300000000000003,4.761522944624351,6.3436630828739125,pass
0.7350000000000003,4.865196239445049,6.353030860590425,pass
0.7400000000000003,4.972086025638499,6.278122049069305,pass
0.7450000000000003,5.081851480231274,6.2232724856258725,pass
0.7500000000000003,5.194178432886193,6.088992588082393,pass
0.7550000000000003,5.308778163072987,6.1047342611600355,pass
0.7600000000000003,5.42538599708732,6.234051744972487,pass
0.7650000000000003,5.5437597912692835,6.204084980027359,pass
0.7700000000000004,5.663678367750838,6.020781067569551,pass
0.7750000000000004,5.78493995212294,6.091891071119315,pass
0.7800000000000004,5.90736064853023,6.179728426177572,pass
0.7850000000000004,6.0307729766077305,6.273404452177517,pass
0.7900000000000004,6.155024486032792,6.156391330822968,pass
0.7950000000000004,6.279976457863155,6.254329815495382,fail
