tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
CF-53a	CF-53		This study	LP-NOMAG		
CF-54a	CF-54		This study	LP-NOMAG		
CF-56a	CF-56		This study	LP-NOMAG		
CF-57a	CF-57		This study	LP-NOMAG		
CF-58a	CF-58		This study	LP-NOMAG		
CF-59a	CF-59		This study	LP-NOMAG		
CF-60a	CF-60		This study	LP-NOMAG		
CF-61a	CF-61		This study	LP-NOMAG		
CF-62a	CF-62		This study	LP-NOMAG		
CF-63a	CF-63		This study	LP-NOMAG		
CF-64a	CF-64		This study	LP-NOMAG		
CF-65a	CF-65		This study	LP-NOMAG		
CF-66a	CF-66		This study	LP-NOMAG		
CF-67a	CF-67		This study	LP-NOMAG		
CF-68a	CF-68		This study	LP-NOMAG		
CF-69a	CF-69		This study	LP-NOMAG		
CF-70a	CF-70		This study	LP-NOMAG		
CF-71a	CF-71		This study	LP-NOMAG		
CF-72a	CF-72		This study	LP-NOMAG		
CF-73a	CF-73		This study	LP-NOMAG		
CF-74a	CF-74		This study	LP-NOMAG		
CF-75a	CF-75		This study	LP-NOMAG		
CF-76a	CF-76		This study	LP-NOMAG		
CF-77a	CF-77		This study	LP-NOMAG		
CF-78a	CF-78		This study	LP-NOMAG		
CF-79a	CF-79		This study	LP-NOMAG		
CF-80a	CF-80		This study	LP-NOMAG		
CF-81a	CF-81		This study	LP-NOMAG		
CF-82a	CF-82		This study	LP-NOMAG		
CF-84a	CF-84		This study	LP-NOMAG		
CF-85a	CF-85		This study	LP-NOMAG		
CF-86a	CF-86		This study	LP-NOMAG		
CF-87a	CF-87		This study	LP-NOMAG		
CF-88a	CF-88		This study	LP-NOMAG		
CF-89a	CF-89		This study	LP-NOMAG		
CF-90a	CF-90		This study	LP-NOMAG		
CF-91a	CF-91		This study	LP-NOMAG		
CF-92a	CF-92		This study	LP-NOMAG		
CF-93a	CF-93		This study	LP-NOMAG		
CF-94a	CF-94		This study	LP-NOMAG		
CF-96a	CF-96		This study	LP-NOMAG		
CF-97a	CF-97		This study	LP-NOMAG		
CF-98a	CF-98		This study	LP-NOMAG		
