tab	specimens
analysts	citations	method_codes	sample	specimen	volume	weight
	This study	LP-NOMAG	CF-53	CF-53a		
	This study	LP-NOMAG	CF-54	CF-54a		
	This study	LP-NOMAG	CF-56	CF-56a		
	This study	LP-NOMAG	CF-57	CF-57a		
	This study	LP-NOMAG	CF-58	CF-58a		
	This study	LP-NOMAG	CF-59	CF-59a		
	This study	LP-NOMAG	CF-60	CF-60a		
	This study	LP-NOMAG	CF-61	CF-61a		
	This study	LP-NOMAG	CF-62	CF-62a		
	This study	LP-NOMAG	CF-63	CF-63a		
	This study	LP-NOMAG	CF-64	CF-64a		
	This study	LP-NOMAG	CF-65	CF-65a		
	This study	LP-NOMAG	CF-66	CF-66a		
	This study	LP-NOMAG	CF-67	CF-67a		
	This study	LP-NOMAG	CF-68	CF-68a		
	This study	LP-NOMAG	CF-69	CF-69a		
	This study	LP-NOMAG	CF-70	CF-70a		
	This study	LP-NOMAG	CF-71	CF-71a		
	This study	LP-NOMAG	CF-72	CF-72a		
	This study	LP-NOMAG	CF-73	CF-73a		
	This study	LP-NOMAG	CF-74	CF-74a		
	This study	LP-NOMAG	CF-75	CF-75a		
	This study	LP-NOMAG	CF-76	CF-76a		
	This study	LP-NOMAG	CF-77	CF-77a		
	This study	LP-NOMAG	CF-78	CF-78a		
	This study	LP-NOMAG	CF-79	CF-79a		
	This study	LP-NOMAG	CF-80	CF-80a		
	This study	LP-NOMAG	CF-81	CF-81a		
	This study	LP-NOMAG	CF-82	CF-82a		
	This study	LP-NOMAG	CF-84	CF-84a		
	This study	LP-NOMAG	CF-85	CF-85a		
	This study	LP-NOMAG	CF-86	CF-86a		
	This study	LP-NOMAG	CF-87	CF-87a		
	This study	LP-NOMAG	CF-88	CF-88a		
	This study	LP-NOMAG	CF-89	CF-89a		
	This study	LP-NOMAG	CF-90	CF-90a		
	This study	LP-NOMAG	CF-91	CF-91a		
	This study	LP-NOMAG	CF-92	CF-92a		
	This study	LP-NOMAG	CF-93	CF-93a		
	This study	LP-NOMAG	CF-94	CF-94a		
	This study	LP-NOMAG	CF-96	CF-96a		
	This study	LP-NOMAG	CF-97	CF-97a		
	This study	LP-NOMAG	CF-98	CF-98a		
