specimen,primary_grain_size,percent_primary,secondary_grain_size,rip_ups,notes,key,specimen_num
CF-1a,1,100,,n,,0-clay,1
CF-2a,3,100,,n,,,2
CF-3a,3,100,,n,,,3
CF-4a,2,100,,n,,,4
CF-5a,3,95,1,n,,,5
CF-6a,3,75,1,n,,,6
CF-7a,3,90,1,n,,,7
CF-8a,4,100,,n,,,8
CF-9a,4,70,2,n,"poorly sorted, subangular",,9
CF-10a,2,80,3,n,,,10
CF-11a,2,95,1,n,,,11
CF-12a,3,85,2,n,poorly sorted,,12
CF-13a,4,90,1,n,poorly sorted,,13
CF-14a,2,90,1,n,,,14
CF-15a,2,100,,n,,,15
CF-16a,3,90,1,n,,,16
CF-17a,3,95,1,n,,,17
CF-18a,3,95,2,n,,,18
CF-19a,2,100,,n,,,19
CF-20a,3,100,,n,,,20
CF-21a,2,85,3,n,,,21
CF-22a,2,100,,n,,,22
CF-23a,2,90,1,n,,,23
CF-24a,3,100,,n,,,24
CF-25a,3,90,1,n,,,25
CF-26a,2,80,1,n,,,26
CF-27a,3,100,,n,,,27
CF-28a,2,95,1,n,,,28
CF-29a,1,90,2,n,,1-silt,29
CF-30a,3,95,1,n,,,30
CF-31a,3,100,,n,,,31
CF-32a,1,60,3,n,,2-vfs,32
CF-33a,1,85,2,n,,3-fs,33
CF-34a,2,90,1,n,,,34
CF-35a,2,60,1,n,,,35
CF-36a,2,80,1,n,,,36
CF-37a,1,65,3,n,possible mud crack filled with upper fine sand,4-ms,37
CF-38a,1,65,2,n,,5-cs,38
CF-39a,1,80,3,n,,6-vcs,39
CF-40a,1,90,2,n,,,40
CF-41a,1,100,,n,,,41
CF-42a,1,100,,n,,,42
CF-43a,3,90,1,n,,,43
CF-44a,1,60,2,n,,,44
CF-45a,1,65,2,n,,,45
CF-46a,1,70,2,n,,,46
CF-47a,1,75,2,n,,,47
CF-48a,1,75,2,n,,,48
CF-49a,1,100,,n,,,49
CF-50a,1,70,2,n,,,50
CF-51a,2,70,1,n,,,51
CF-52a,1,100,,n,,,52
CF-53a,1,70,2,n,,,53
CF-54a,2,80,3,n,,,54
CF-55a,3,90,1,n,,,55
CF-56a,3,60,1,n,layererd sand and silt,,56
CF-57a,1,60,2,n,graded silt to fine sand,,57
CF-58a,2,65,3,n,,,58
CF-59a,3,65,2,n,,,59
CF-60a,2,75,3,n,,,60
CF-61a,2,80,1,n,,,61
CF-62a,2,75,1,n,,,62
CF-63a,3,75,1,n,,,63
CF-64a,3,75,1,n,,,64
CF-65a,2,95,1,n,,,65
CF-66a,3,75,1,n,,,66
CF-67a,3,100,,n,,,67
CF-68a,2,65,1,n,,,68
CF-69a,3,95,1,y,,,69
CF-70a,3,95,2,n,,,70
CF-71a,3,70,2,n,beautitful,,71
CF-72a,3,80,2,n,,,72
CF-73a,3,80,1,n,,,73
CF-74a,3,85,1,n,upper fine,,74
CF-75a,3,70,1,n,,,75
CF-76a,3,80,1,n,,,76
CF-77a,3,75,1,n,,,77
CF-78a,3,65,2,n,,,78
CF-79a,3,70,1,n,,,79
CF-80a,3,60,1,n,,,80
CF-81a,1,80,1,n,,,81
