specimen,primary_grain_size,percent_primary,secondary_grain_size,rip_ups,notes,key,specimen_num
CF-82a,3,95,1,n,,,82
CF-83a,3,70,1,n,,,83
CF-84a,3,100,,n,,,84
CF-85a,3,85,2,n,,,85
CF-86a,3,100,,n,,,86
CF-87a,3,95,1,n,,,87
CF-88a,1,60,3,n,,,88
CF-89a,3,100,,n,,,89
CF-90a,1,60,3,n,,,90
CF-91a,3,95,1,y,,,91
CF-92a,2,80,3,n,,,92
CF-93a,1,70,2,n,,,93
CF-94a,2,70,1,y,,,94
CF-95a,3,95,2,n,,,95
CF-96a,1,90,2,n,,,96
CF-97a,1,95,2,n,,,97
CF-98a,1,75,4,n,,,98
CF-99a,1,100,,n,,,99
CF-100a,1,70,3,n,,,100
CF-101a,1,90,2,n,,,101
CF-102a,1,100,,n,,,102
CF-103a,1,100,,n,,,103
CF-104a,1,70,3,n,,,104
CF-105a,3,90,1,n,,,105
CF-106a,1,90,2,n,,,106
CF-107a,2,70,1,n,,,107
CF-108a,1,60,2,n,,,108
CF-109a,1,55,2,n,,,109
CF-110a,1,65,2,n,,,110
CF-111a,1,70,3,n,,,111
CF-112a,1,70,3,n,,,112
CF-113a,2,80,1,n,,,113
CF-114a,1,85,2,n,,,114
CF-115a,1,80,2,n,,,115
CF-116a,2,65,1,n,,,116
CF-117a,1,75,2,n,finely laminated,,117
CF-118a,1,75,2,n,,,118
CF-119a,1,95,2,n,,,119
CF-120a,2,75,1,n,,,120
CF-121a,1,95,2,n,,,121
CF-122a,1,90,3,n,,,122
CF-123a,1,70,2,n,,,123
CF-124a,1,100,,n,,,124
CF-125a,2,100,,n,,,125
CF-126a,3,85,2,n,,,126
CF-127a,1,80,0,n,,,127
CF-128a,2,100,,n,,,128
CF-129a,2,95,3,n,,,129
CF-130a,0,90,3,n,,,130
CF-131a,1,90,3,n,,,131
CF-132a,2,90,1,n,,,132
CF-133a,2,100,,n,,,133
CF-134a,2,90,1,n,,,134
CF-135a,2,90,1,n,poorly laminated,,135
CF-136a,3,90,1,n,arkosic umss,,136
CF-137a,0,75,1,n,,,137
CF-138a,2,80,1,n,,,138
CF-139a,1,85,3,n,,,139
CF-140a,1,65,3,n,,,140
CF-141a,1,60,2,n,,,141
CF-142a,1,65,3,n,very finely laminated slt/ss,,142
CF-143a,3,95,1,y,very small rip ups,,143
CF-144a,1,90,2,n,,,144
CF-145a,3,100,,n,,,145
CF-146a,1,90,2,n,,,146
CF-147a,3,100,,y,,,147
CF-148a,3,65,1,y,,,148
CF-149a,1,60,2,n,,,149
CF-150a,1,100,,n,,,150
CF-151a,1,60,2,n,,,151
CF-152a,2,65,0,n,very finely laminated mud interlayers,,152
CF-153a,1,70,2,n,,,153
CF-154a,2,70,1,y,very small rip ups,,154
CF-155a,1,95,2,n,,,155
CF-156a,3,65,1,n,,,156
CF-157a,1,90,2,n,,,157
CF-158a,1,80,2,n,,,158
CF-159a,3,80,1,n,very thin slt horizons,,159
CF-160a,3,85,1,n,"one large piece of slt, doesn’t look like a rip up",,160
CF-161a,1,90,4,n,lmss secondary,,161
CF-162a,4,100,,n,poorly sorted,,162
CF-163a,1,60,3,y,small cracks (?) in the finer lithology is filled in with coarser,,163
CF-164a,2,100,,n,beautiful specimen,,164
CF-165a,2,90,1,n,,,165
CF-166a,2,80,1,n,,,166
CF-167a,2,65,1,n,,,167
CF-168a,2,70,1,n,,,168
CF-169a,3,90,1,y,,,169
CF-170a,1,85,3,n,,,170
CF-172a,3,75,1,n,no visible rip ups,,172
CF-173a,3,75,1,n,,,173
CF-174a,3,100,,n,,,174
CF-175a,1,55,3,y,at transition from slt to ss,,175
CF-176a,4,95,1,n,"umss, one thin slt layer",,176
CF-177a,4,100,,n,lmss,,177
CF-178a,4,85,1,y,"lms, one visible slt rip up",,178
CF-179a,3,100,,n,,,179
CF-180a,2,85,1,n,,,180
CF-181a,2,100,,n,vfs,,181
CF-182a,2,90,3,n,a few fs horizons,,182
CF-183a,3,100,,n,f to vf ss,,183
CF-184a,4,95,1,y,one visible rip up,,184
CF-185a,4,100,,n,upper medium ss,,185
CF-186a,4,90,1,y,upper medium ss with slt rip ups,,186
