Sample,Depth,RStrike,Dip,Demagnetization,n,MAD,Dg,Ig,Ds,Is,Plong,Plat,D*,I*,Plon*,Plat*,f
70B,612.85,301,42,660-680,5,3.8,331.2,68.7,8.6,34.8,231.6,74.8,8.6,54.3,151.8,82.4,0.5
71A-2,625.89,301,42,640-660,5,7.1,251.4,75.6,13.4,57.8,140.8,77.4,13.4,72.5,100,62.8,0.5
71A1,619.9,301,42,660-680,5,7.1,289,42.3,325.9,37.1,342.1,57.6,325.9,56.5,13.7,61.7,0.5
71B2,619.9,301,42,655-673,5,9.8,286.3,16.2,301.3,21.7,347.1,32.4,301.3,38.5,358.3,37.3,0.5
71C1,620.03,301,42,660-677,5,0.7,323.6,53.4,353.1,26.3,284.9,70.6,353.1,44.7,311.7,81.6,0.5
71D,620.03,301,42,640-660,5,1.9,337.3,36.2,300,46.1,5.6,38.4,300,64.3,29.6,42.6,0.5
71E2,620.45,301,42,660-677,5,3.7,325.9,58.4,358.1,29,270.6,73.2,358.1,48,292.2,86.4,0.5
71K1,621.34,301,42,655-673,5,5.8,290,35.2,319.6,32.1,342.1,50.7,319.6,51.5,5.3,56,0.5
71L2,621.34,301,42,650-670,5,3.8,323.3,48.7,349.5,23,292.2,67.6,349.5,40.3,312.1,76.9,0.5
71NI,621.72,301,42,640-670,5,8.6,304.6,42.3,334.3,28,323.8,60.9,334.3,46.8,350.4,67.4,0.5
71P,621.72,301,42,645-670,5,12.8,320.5,32.4,336.5,12.1,309.4,55.9,336.5,23.2,316.7,60.5,0.5
72B,625.92,301,42,660-680,5,3.7,337.3,48.9,357.3,17.4,271,66.6,357.3,32.1,274.3,75,0.5
72C1,628,301,42,475-565,5,8.4,333.4,36.7,347.8,9,289.3,60.1,347.8,17.6,293,64.2,0.5
72E2,630.15,301,42,590-630,5,2.3,134.4,-30.4,151.1,-14.1,137.6,-53.3,151.1,-26.7,146.6,-58.0,0.5
72J,633.99,301,42,600-640,5,2.5,109.2,-49.9,154.3,-41,159.8,-65.7,154.3,-60.1,204.8,-67.7,0.5
72K1,634.06,301,42,580-630,5,3.6,115.8,-45.3,153.9,-36.6,153.8,-63.9,153.9,-56.1,193.3,-68.1,0.5
72L1,634.56,301,42,590-630,5,1.8,121.3,-45.5,155.4,-31.9,146.3,-63.3,155.4,-51.2,180,-69.2,0.5
72M1,634.56,301,42,650-675,5,9.6,314.4,23.3,326.3,8.7,320,48,326.3,17,324.8,50.9,0.5
72N,634.64,301,42,660-690,5,10.8,294.4,46.6,333.1,36.4,334.5,63.2,333.1,55.9,12.6,67.5,0.5
72P,634.64,301,42,655-680,4,2.9,313.6,29.3,329.8,13.7,318.9,52.2,329.8,26,327.5,56.8,0.5
72Q1,634.64,301,42,630-665,5,5.9,304.5,49.1,340.3,32.3,319.5,67,340.3,51.7,0.1,73.4,0.5
73B,637.73,301,42,665-690,5,1.9,292.6,47.6,333.3,37.9,336.2,63.9,333.3,57.3,16.5,67.5,0.5
73F2,641.13,301,42,630-655,5,3.6,292.5,55.3,341.9,41.8,331.9,72.1,341.9,60.8,33.2,72.7,0.5
73H,641.49,301,42,655-675,5,3.4,301.6,45.7,335.8,31.8,325.7,63.5,335.8,51.1,359.6,69.5,0.5
73I,641.59,301,42,650-670,5,5,307.4,49,341.6,30.8,315.5,67.2,341.6,50,354,74.3,0.5
74D2,646.19,295,38,640-673,6,7.2,342.4,8.8,335.8,41.2,338.5,67,335.8,60.3,26.3,68.7,0.5
74E,646.99,295,38,630-660,5,3.7,341.4,39,352.1,8.6,280.8,61.2,352.1,16.8,283.3,65.3,0.5
74F2,646.99,295,38,655-670,5,9.7,340.2,30.9,347.8,1.8,286.9,56.7,347.8,3.6,287.5,57.5,0.5
75B,647.15,295,38,620-645,6,13,274.5,79.6,8,54.5,149.1,82.8,8,70.4,96.2,66.9,0.5
75D,648.88,295,38,620-645,5,5.7,270.1,76.8,3.5,55.7,118.9,85,3.5,71.2,89.2,66.3,0.5
76B,651.09,295,38,600-650,5,11,272.7,30.9,299.2,37.2,358.3,35.1,299.2,56.6,17.9,40.6,0.5
76C2,653.64,295,38,620-670,5,12.2,281.2,47.4,321.4,42.8,352,55.5,321.4,61.6,24.7,57.9,0.5
76D1,655.04,295,38,650-670,5,8,322.3,65.5,357.5,36.8,275.7,78.1,357.5,56.3,61.2,84.9,0.5
77A,655.53,295,38,660-680,5,4.5,289,51.4,329.7,41,343.9,61.9,329.7,60.1,23,64.3,0.5
77D1,664.24,295,38,650-673,5,2.7,290.6,35.3,315.6,29.6,343,46.7,315.6,48.7,2.5,52.1,0.5
77D2,664.24,295,38,650-670,5,1.9,284.9,36.3,312,33.9,348.7,44.9,312,53.4,10.3,50.1,0.5
77E2,664.75,295,38,650-670,5,3.6,314.2,48.5,340.3,27.1,314.1,64.7,340.3,45.7,342.9,72.2,0.5
77F1,664.75,295,38,630-660,6,12.8,317.3,49.2,342.6,26.4,309.4,65.8,342.6,44.8,337.8,73.8,0.5
77G1,665.15,295,38,655-673,5,4.1,288.7,26.3,307.3,24.2,344.8,38.1,307.3,42,358.5,43.3,0.5
77H2,665.15,295,38,650-670,5,2.6,309.8,28.5,323.9,13.7,325.2,48,323.9,26,333.5,52.2,0.5
77I1,665.35,295,38,655-670,5,8,298.1,31.6,317.9,22.6,336.2,46.3,317.9,39.8,350.6,51.7,0.5
77J1,665.45,295,38,645-677,5,5.5,317.5,42.4,291.9,33.2,359.1,27.8,291.9,52.6,15.2,33.8,0.5
77J2,665.45,295,38,630-665,5,2.7,296.7,36.4,320.5,26.9,337.1,49.8,320.5,45.4,355.9,55.4,0.5
78A2,666.82,290,35,660-677,5,9.9,308.4,40,328,22.8,327,54.3,328,40.1,344.1,60.2,0.5
78B2,669.25,290,35,650-670,5,4.3,293.1,26.6,308.3,19.9,341.6,37.7,308.3,35.9,352.5,42.4,0.5
78D2,672.46,290,35,650-673,5,10.8,279.6,12,288.5,15.8,351.3,19.9,288.5,29.5,358.5,23.8,0.5
79D1,675.91,290,35,655-670,5,3.5,294.1,43.4,321.1,32.2,341,52,321.1,51.6,5,57.3,0.5
79E1,675.91,290,35,660-680,5,3.4,272.2,27.9,293.2,32.5,358,28.6,293.2,51.9,14,34.6,0.5
79F2,675.91,290,35,650-670,5,0.7,297.2,33.5,315.9,23.1,338.1,44.9,315.9,40.5,352.5,50.2,0.5
79G1,676.78,290,35,650-670,5,1.3,307.8,33.1,323.3,17.5,328.1,48.9,323.3,32.2,339.2,53.8,0.5
79I1,676.78,290,35,655-673,5,3.2,338.4,45.3,350.9,16.3,285.8,64.7,350.9,30.3,293.9,72.1,0.5
80A,677.1,290,35,620-655,5,0.6,309.9,56.4,340.5,35,322.6,68.3,340.5,54.5,9.5,73.5,0.5
80B,678.72,290,35,650-675,5,5.5,279.1,51.5,320,45.1,355.8,54.9,320,63.5,28.7,56.6,0.5
80F,682.93,290,35,600-650,5,2.5,280.4,30.6,301.6,30,352,35,301.6,49.1,8.1,40.6,0.5
80H,685.28,290,35,655-675,5,1.9,339.1,35.6,347.6,7.1,289,59.1,347.6,14,291.7,62.4,0.5
80I,686.29,290,35,660-677,5,7.4,328.5,69.1,358.7,39.6,271.4,80.2,358.7,58.9,76.6,82.5,0.5
80K,687.02,290,35,600-650,5,1.7,263,66.9,337.5,58.8,22.6,70.4,337.5,73.2,61.5,59.3,0.5
81A,688.49,292,43,620-655,5,4.4,293.1,38.5,321.1,26.4,336.2,50.1,321.1,44.8,354.8,55.8,0.5
81C,689.38,292,43,650-670,5,1.8,288.8,58.9,339.5,40.2,332.3,69.6,339.5,59.4,26,71.7,0.5
81D,691.17,292,43,620-655,5,1.2,315.5,46.4,339.7,20,309.4,61.2,339.7,36.1,325.4,68.1,0.5
81E,692.06,292,43,630-660,5,1.3,277.9,46.3,320.9,40,349,54.3,320.9,59.2,19.5,57.7,0.5
81F1,693.84,292,43,650-670,5,1.8,298.1,56,339.7,34.5,323.2,67.5,339.7,54,7.7,72.9,0.5
81J1,697.58,292,43,660-677,5,2.6,346.1,47.4,358.3,9.4,268,62.5,358.3,18.3,268.6,67.1,0.5
81M1,700.26,292,43,640-660,4,7.1,317.3,51.4,344.2,22.9,303.5,65.1,344.2,40.2,324.6,73.2,0.5
81N1,700.26,292,43,650-670,5,13.4,304,24.3,317.2,9.9,329.3,41.7,317.2,19.2,334.6,44.7,0.5
81Q1,701.5,292,43,630-673,7,14.4,318.3,62.9,354.2,31.2,284.6,73.8,354.2,50.5,344.8,85,0.5
81S1,701.5,292,43,630-673,9,1.9,283.7,22.1,301.9,21.5,346.6,32.8,301.9,38.2,357.8,37.7,0.5
81S2,701.5,292,43,650-675,5,0.9,283.2,20.9,300.5,21,347.2,31.5,300.5,37.5,357.9,36.3,0.5
82C1,705.57,292,43,655-670,4,3,307.1,43.6,333.1,22.1,320.5,57.7,333.1,39.1,338.1,64.1,0.5
82D2,708.54,292,43,640-660,5,4,302.1,51.6,337.7,30.4,321.5,64.3,337.7,49.6,354.9,70.9,0.5
82E,711.49,292,43,630-660,5,0.6,285,44.7,322.6,35,342.5,54.1,322.6,54.5,9.9,58.9,0.5
83C,716.65,292,43,630-660,5,0.6,273.1,63,341.3,48.8,350.5,73.8,341.3,66.4,49.6,68.2,0.5
83D,717.94,292,43,640-660,5,1.5,316.4,54.7,346.3,25.7,301.3,67.5,346.3,43.9,329.3,76.4,0.5
83F,719.88,292,43,600-650,5,1.3,290.5,32.5,314.6,24.1,339.7,44.1,314.6,41.8,354.6,49.5,0.5
84B,720.52,292,43,630-660,5,1.9,322.4,33.8,335.8,6.9,307.6,53.4,335.8,13.6,311.2,56.1,0.5
84F1,730.75,292,43,650-673,5,1.4,327.7,15.3,319.3,20.6,333.7,46.8,319.3,36.9,346.8,52,0.5
84G2,731.33,292,43,660-677,5,11.3,304,39.3,328,20.8,325.5,53.6,328,37.2,340.4,59.3,0.5
85E,732.59,293,56,600-650,5,3.7,310.9,50.1,354.3,26.3,281.5,71,354.3,44.7,306,82.3,0.5
85F,733.26,293,56,640-665,5,4.1,253,58.8,345.8,49,347.4,77.6,345.8,66.5,56,70.1,0.5
85H,734.17,293,56,640-665,5,1,243.7,64.6,356.7,50.8,341.4,87.1,356.7,67.8,77.8,71.3,0.5
85J,735.05,293,56,650-670,5,0.6,272.4,43.1,324.7,36.5,342.4,56.4,324.7,56,12.7,60.7,0.5
85M,735.6,293,56,665-680,5,0.8,281.3,43.3,327.3,30.4,334,56.4,327.3,49.6,359.5,62.1,0.5
85P1,736.95,293,56,620-655,4,13.6,283.5,61.2,348.2,33.8,304.9,72.7,348.2,53.3,7,80,0.5
85Q1,737.35,293,56,645-677,6,10.3,302.8,58.2,348.5,23.7,294.9,67.5,348.5,41.3,317.3,76.8,0.5
85S1,737.71,293,56,600-645,5,6.8,319,74.8,7.7,26.4,241.5,70.4,7.7,44.8,213.1,81.1,0.5
86A,737.92,293,56,630-660,5,1.3,266.5,56.5,341.2,42.1,333.5,71.7,341.2,61.1,33.4,72.1,0.5
86D,738.45,293,56,640-665,5,1.8,311.5,46.6,341,13,303,58.9,341,24.8,310.9,64.1,0.5
86E,738.77,293,56,640-665,5,2.2,327.1,52.8,352.5,9.5,280.2,61.7,352.5,18.5,282.9,66.3,0.5
86G,739.45,293,56,620-655,5,2.6,295.1,72.2,2,31.5,257,74.7,2,50.8,195.9,88.2,0.5
86I,739.96,293,56,640-665,5,1.1,279.6,46.6,330.6,32.5,332.7,59.8,330.6,51.9,3,65.2,0.5
86J,740.97,293,56,600-655,5,4.7,265.9,55.8,340.3,42.4,335.4,71.1,340.3,61.3,33.1,71.4,0.5
87A,744.23,293,56,640-665,5,1.5,331.6,49.1,352.1,4.9,279.9,59.3,352.1,9.7,281.1,61.7,0.5
87B,746.81,293,56,640-665,5,1.8,277,40.6,323,32.5,339.8,53.7,323,51.9,5,58.9,0.5
88F,757.34,293,56,640-665,5,1.3,270.2,52.9,336.7,39.8,335.2,67.3,336.7,59,22.8,69.8,0.5
88G1,759.2,293,56,600-645,5,1.1,264.8,41.3,320.7,41.6,351,54.6,320.7,60.6,22.4,57.5,0.5
89K,763.5,305,45,640-670,6,2.4,7.8,50.7,18,8.6,229.4,57.4,18,16.8,225.1,61.1,0.5
89L,776.07,305,45,650-670,5,4.1,356.1,41.1,6.7,2.9,251.4,58.6,6.7,5.8,250.8,60,0.5
90A,779.93,305,45,630-665,5,3.3,280.1,50.4,336.5,47.3,350,69.4,336.5,65.2,41.3,66.6,0.5
90B1,781.99,305,45,645-665,5,4.4,333.8,68.9,13.1,32.5,222,71.3,13.1,51.9,169.1,78.9,0.5
90E1,798.5,305,45,640-660,5,5.9,320.8,41.7,345.5,19.1,298.4,63.9,345.5,34.7,312.6,71.5,0.5
90F1,802.8,305,45,630-673,8,7.8,233.1,68,18.9,65.2,122.5,69.2,18.9,77,98,55,0.5
90F2,802.8,305,45,650-680,5,1.6,279.5,78.6,19.2,48.9,177.5,73.4,19.2,66.4,119.6,68,0.5
90G2,806.65,305,45,665-677,5,14.1,319.7,65.3,5.6,34.6,242,75.9,5.6,54.1,145.3,84.7,0.5
91B2,809.96,305,45,630-655,5,1,274.2,70.5,7.4,51.9,169.3,83.7,7.4,68.6,97.5,69.6,0.5
91C1,811.21,305,45,650-670,5,0.8,264.5,65.3,359.8,56.6,82.5,85,359.8,71.8,84,65.5,0.5
92F,814.23,305,45,650-670,5,2.2,309.2,45.6,342.8,28,310.4,66.7,342.8,46.8,343.1,74.6,0.5
93B,824.55,305,45,650-670,5,2.8,303.6,52.3,346.9,34.8,309.5,72.4,346.9,54.3,11.4,78.8,0.5
93D1,825.8,305,45,640-665,5,9.2,4,63.2,20.6,21,218,61.4,20.6,37.5,200.6,68.5,0.5
93F,826.24,305,45,650-670,5,2.8,331.6,63.8,8,29.7,238.4,72.2,8,48.8,192,82.7,0.5
93G,826.24,305,45,655-675,4,4.4,335.8,73.7,17.8,35.2,208.6,69.6,17.8,54.7,157.9,74.9,0.5
93H,826.77,305,45,655-675,5,0.5,315.4,34.8,337.2,17.4,311.5,58.6,337.2,32.1,324.1,64.7,0.5
94E,831.19,305,45,655-675,5,6.8,106.8,-36.2,142.3,-36.6,164.3,-54.4,142.3,-61.7,205.1,-58.6,0.4
95A2,837.09,305,45,650-670,5,7.1,129,-4.6,131.1,-0.5,149.6,-34,131.1,-1.2,149.9,-34.2,0.4
95B,837.5,305,45,660-680,5,3.5,123.4,-16.2,135.6,-12.5,152,-41.3,135.6,-29,162.5,-46.5,0.4
96B,845.47,305,45,630-673,4,12.2,101.1,-40.9,144.6,-42.8,170.1,-58.2,144.6,-66.7,217.7,-58.6,0.4
96C,845.47,305,45,640-680,4,11.7,145.5,-28.4,159,-6.8,123,-55.1,159,-16.6,128.3,-59.3,0.4
98C1,863.47,305,45,520-680,5,3.8,129.5,-30.1,150,-17.9,141.3,-53.9,150,-38.9,160.8,-61.5,0.4
98E1,864.5,305,45,660-677,4,11.4,165.5,-33.4,175.6,-0.3,92.6,-57.7,175.6,-0.7,92.6,-57.9,0.4
98F,864.64,305,45,645-660,5,2.4,192.3,-53.3,201.4,-10.2,43.3,-56.3,201.4,-24.2,34.3,-62.3,0.4
98G,864.78,305,45,640-675,5,10,137.7,-30.2,155.2,-12.8,131.6,-55.4,155.2,-29.6,144.2,-62.2,0.4
99C1,866.24,305,45,655-670,4,6.9,122.8,-21.2,138.9,-16.3,151.4,-45.1,138.9,-36.2,166.3,-51.4,0.4
99E1,866.24,305,45,630-645,4,5.7,98.6,-24.8,125.8,-35.6,173.7,-40.2,125.8,-60.8,203.1,-46.4,0.4
101B,882.1,305,45,660-680,5,3.3,101,-13.4,117.6,-26.3,171.9,-30.6,117.6,-51,191.6,-37.8,0.4
105A1,905.34,305,45,610-640,4,7,102.1,5.3,104.7,-12,171.6,-15.7,104.7,-28,179.6,-20.1,0.4
105B2,905.4,305,45,650-673,4,9.5,125,-31.2,148.2,-21.5,145.8,-54,148.2,-44.6,170.4,-61.7,0.4
105D1,905.86,305,45,655-673,5,0.3,116.2,-40,151.1,-32.5,152.1,-60.2,151.1,-57.9,197.6,-65.7,0.4
105G2,906.33,305,45,665-680,5,3,139.2,-21.2,149.8,-5.4,134.4,-49.1,149.8,-13.3,138.7,-52.1,0.4
105H2,906.58,305,45,650-673,5,2.3,111,-40,148.5,-35.8,158.4,-59.3,148.5,-61,204.9,-63.2,0.4
105I1,906.81,305,45,660-677,5,14.3,94.7,-59,168.5,-52.2,181,-80.3,168.5,-72.8,251,-62.8,0.4
105K2,909.05,305,45,630-660,5,14,161.9,-31.4,172,-0.3,99.1,-57.1,172,-0.7,99.2,-57.3,0.4
105L1,909.63,305,45,540-620,4,4.6,125.5,-33.9,150.7,-22.9,144,-56.3,150.7,-46.6,172.3,-64.3,0.4
105M1,909.63,305,45,640-680,3,10.2,164.1,-34.3,175.1,-1.7,93.7,-58.3,175.1,-4.2,94,-59.6,0.4
106C,914.24,305,45,600-650,5,0.9,125.1,-54.5,169.8,-35.1,122.2,-74.2,169.8,-60.4,225.5,-77.7,0.4
106I,917.04,305,45,660-680,5,4.7,161.5,-37.4,175.1,-5.5,94.2,-60.2,175.1,-13.5,95.6,-64.2,0.4
107A1,917.7,305,45,660-680,5,2.5,110.4,-10.4,122.1,-17.6,164.3,-31.8,122.1,-38.4,177.8,-37.9,0.4
107B1,917.7,305,45,655-677,7,6.6,113.2,-8.3,122.6,-14.2,162.2,-31.3,122.6,-32.3,173,-36.5,0.4
107D1,920.11,305,45,630-655,5,2.2,116.1,-4,121.5,-9.1,160.4,-28.9,121.5,-21.8,167,-32.6,0.4
107E1,920.11,305,45,660-680,5,6.7,103.4,-20.8,125.5,-29.6,169.4,-38.2,125.5,-54.9,194.1,-45.2,0.4
107F1,920.11,305,45,650-677,4,5.6,104,-57.9,168.1,-47.2,156.9,-79,168.1,-69.7,246,-67,0.4
107G1,920.38,305,45,630-665,7,2.2,145.9,-50.6,175,-22.7,98.1,-69.1,175,-46.3,129,-83.7,0.4
107I2,921.83,305,45,650-677,5,1.9,145.5,-24.9,156.6,-4.2,125.2,-52.7,156.6,-10.4,128.3,-55.3,0.4
107J2,925.13,305,45,665-680,6,7.4,132.4,-27.7,150,-14.4,139.1,-52.6,150,-32.7,153.5,-59.4,0.4
108A2,925.27,298,55,660-680,5,1.2,132.3,-23,144.8,-2.2,138.3,-44.6,144.8,-5.5,139.9,-45.7,0.4
108C1,925.87,298,55,650-673,6,1.1,127.2,-30.2,147.9,-10.1,139,-49.6,147.9,-24,148,-54.6,0.4
108D1,926.48,298,55,655-670,5,0.5,128.5,-35.4,152.9,-12.2,134.3,-53.7,152.9,-28.4,146,-60,0.4
108E1,927.08,298,55,640-660,5,1.3,110.3,-51.3,161.7,-31.1,135.7,-67.4,161.7,-56.5,197.3,-74.2,0.4
108H1,927.99,298,55,655-677,3,5.9,142.8,-34,159.1,-2,120.7,-53.1,159.1,-5,122,-54.4,0.4
108I1,934.02,298,55,655-677,4,13,135.2,-38.7,158.8,-9.7,124.7,-56.2,158.8,-23.1,133.1,-62,0.4
108K2,935.06,298,55,655-673,5,2,126,-32.6,149.4,-12.3,138.6,-51.4,149.4,-28.6,150.2,-57.4,0.4
109C,936.5,298,55,660-680,5,1.7,121,-34,148.2,-16.6,142.5,-52.2,148.2,-36.7,159.7,-59.3,0.4
109E,936.65,298,55,640-675,5,3,125.6,-28.7,145.8,-10.4,141.4,-48.2,145.8,-24.6,150.6,-53.2,0.4
109F,937.05,298,55,620-655,5,2.1,135.9,-49.8,168.3,-16,111.2,-63.6,168.3,-35.6,127.1,-73.7,0.4
109H,939.24,298,55,620-655,5,0.5,128.5,-59.7,174.8,-24.8,99.4,-70.2,174.8,-49.1,149.3,-85,0.4
109J,943.14,298,55,660-680,5,2.6,136.5,-53.2,171.4,-17.6,105.1,-65.5,171.4,-38.4,122.3,-76.9,0.4
110B,945.48,298,55,655-673,4,10.6,95.3,-7.4,110.9,-22.8,173.5,-23.9,110.9,-46.4,189.5,-31,0.4
110E,948.7,298,55,640-680,8,1.5,150.2,-51.6,175.7,-10.3,93.7,-62.7,175.7,-24.4,96.8,-70.2,0.4
110G,951.9,298,55,660-680,5,13.7,77.4,-10.6,101.8,-39,187.7,-21.1,101.8,-63.7,211.7,-30,0.4
110H1,951.9,298,55,655-677,5,10.8,68,-19.1,104.4,-51.3,196.5,-27.4,104.4,-72.3,225.2,-34.2,0.4
111B,958.54,304,27,600-650,5,2.3,130.9,-77.7,189.6,-59.2,306.4,-79,189.6,-76.6,271.9,-57.1,0.4
112A,960.19,304,27,630-660,5,1.7,132.9,-14.3,138.4,-8.7,147.6,-42.2,138.4,-20.9,154.7,-46.2,0.4
112C1,962.94,304,27,630-655,5,6.6,137.8,-45,158.4,-33.6,144.1,-66.2,158.4,-59,203.8,-71,0.4
112D1,962.94,304,27,630-660,6,4.6,140.7,-34.9,154.9,-23.7,139.3,-59.6,154.9,-47.7,171.9,-68.2,0.4
113F1,972.7,304,27,600-640,3,7,86.4,-32,105.9,-45,190.4,-26.5,105.9,-68.2,217.8,-34.1,0.4
113G2,973.39,304,27,650-670,5,7.3,102.6,-28.2,119,-34.5,176.4,-34.1,119,-59.8,202.5,-41.2,0.4
113J1,974.63,304,27,630-670,4,12.3,185.2,-56.7,195.9,-31.7,36.8,-69.2,195.9,-57.1,327,-75.9,0.4
114A,976.42,304,27,620-673,9,8.3,71.4,-45.7,102.3,-62.8,210.3,-30.1,102.3,-78.4,237.7,-34.2,0.4
114B1,976.97,304,27,650-680,5,10.9,122.8,-50.8,152.3,-44.1,166.7,-65,152.3,-67.6,224.3,-62.6,0.4
114E,978.2,304,27,620-660,5,2.8,124,-36.6,142.6,-32.1,159.7,-53.2,142.6,-57.5,195.9,-59.1,0.4
114F,979.58,304,27,630-660,5,0.9,136.1,-33.7,150.6,-24.5,145.4,-56.8,150.6,-48.7,176.3,-64.7,0.4
114G,979.58,304,27,645-670,5,0.8,139.5,-31,152,-20.8,140.9,-56.5,152,-43.5,165.9,-64.6,0.4
114I,980.68,304,27,630-660,5,1.2,155.5,-18.4,159.9,-3.2,120.1,-54,159.9,-8,122.2,-56.1,0.4
114K1,981.5,304,27,660-680,5,1.9,162.3,-41.9,174.8,-22.7,98.7,-69.1,174.8,-46.3,130.2,-83.6,0.4
114M1,982.05,304,27,640-680,5,6.2,142.2,-53.6,167.2,-39.2,136.1,-74.9,167.2,-63.9,231.5,-73.4,0.4
115A1,982.6,304,37,630-655,5,1.8,152.7,-26.9,162.1,-6,117.9,-56.3,162.1,-14.7,122.1,-60.2,0.4
115B2,982.6,304,37,660-673,5,4.7,138.2,-31.4,154.1,-16.9,135.5,-56.4,154.1,-37.2,154.4,-64.3,0.4
115C2,986.45,304,37,650-670,5,2.9,146.2,-34.2,161.5,-15.1,123.3,-60.1,161.5,-34,139.6,-68.5,0.4
115D1,986.45,304,37,660-680,5,6.2,149.1,-30.7,161.6,-10.9,121,-58.2,161.6,-25.7,130.6,-64.9,0.4
115E2,987.14,304,37,650-670,5,3.7,143.7,-18.6,150.6,-3.6,132.6,-48.9,150.6,-8.9,135.3,-50.9,0.4
115F1,987.14,304,37,665-680,4,4.9,136.3,-30,151.9,-16.7,138.2,-54.8,151.9,-36.9,156.4,-62.4,0.4
115G1,987.83,304,37,640-660,5,1,138.3,-18.6,146.4,-6.5,138.7,-47.2,146.4,-15.9,144,-50.6,0.4
115I,989.34,304,37,665-680,5,2.4,143.8,-14.4,148.3,-0.1,133.6,-46.1,148.3,-0.2,133.6,-46.1,0.4
115J1,989.62,304,37,645-665,5,2.3,143.9,-44.4,166.4,-24.3,120,-66.9,166.4,-48.5,164.7,-78,0.4
115K2,990.3,304,37,655-677,5,1.4,123.2,-52.2,173.9,-17.7,99.4,-66.2,173.9,-38.6,113.2,-78.2,0.4
115L2,990.3,304,37,655-673,5,0.7,139.4,-43.6,163.2,-25.8,127.7,-65.9,163.2,-50.4,174.6,-75.7,0.4
116B1,991.54,288,33,665-680,4,2.2,127.8,-35.9,143.8,-20,149.3,-50.1,143.8,-42.3,169.9,-57.4,0.4
116C2,992.23,288,33,660-673,3,1.4,147.5,-47.5,163.6,-22.6,124.4,-64.6,163.6,-46.1,160.1,-75,0.4
116D1,993.33,288,33,640-677,5,6.2,129.5,-39.5,147.1,-22.3,147.5,-53.4,147.1,-45.7,172.8,-61.1,0.4
116E,997.18,288,33,660-680,5,7.8,172.6,-51,181.3,-20,80.9,-68.1,181.3,-42.3,75.6,-82.2,0.4
116F,997.45,288,33,650-670,5,1.5,171,-32,175.3,-1.9,93.3,-58.4,175.3,-4.7,93.7,-59.8,0.4
116G,997.45,288,33,650-675,5,1.6,150.8,-30.4,158.5,-6,123.4,-54.5,158.5,-14.7,127.9,-58.2,0.4
117A,997.59,288,33,660-680,5,4.1,162,-39.8,170.6,-11.5,104.7,-62.2,170.6,-27,112.1,-70.1,0.4
117B,997.59,288,33,650-670,5,2.4,159.4,-39.3,168.4,-11.7,109.1,-61.6,168.4,-27.4,117.9,-69.4,0.4
117C,999.1,288,33,630-655,4,3.4,171.3,-31.6,175.5,-1.5,92.9,-58.3,175.5,-3.7,93.2,-59.4,0.4
117D,1003.78,288,33,655-680,6,2.4,185.8,-52.3,190.1,-19.8,59.1,-66.1,190.1,-42,33.6,-78.1,0.4
118A,1006.12,288,33,660-680,5,3,207.8,-38,205.7,-5.4,39.7,-51.9,205.7,-13.3,35.5,-55.1,0.4
118B,1007.77,288,33,550-660,10,2.9,187.1,-52.4,191,-19.8,57.1,-65.8,191,-42,31,-77.5,0.4
118D1,1008.04,288,33,660-680,5,6.9,163.9,-51,175.7,-21.6,95.9,-68.6,175.7,-44.7,117.9,-83,0.4
118E,1008.45,288,33,660-680,5,1.3,114.1,-11,119.1,-6,160.5,-26,119.1,-14.7,164.7,-28.5,0.4
118H1,1009.28,288,33,650-670,5,3.1,114,-14.1,120.7,-8.6,160.7,-28.1,120.7,-20.7,166.9,-31.6,0.4
118J,1011.62,288,33,660-680,5,6.1,106.9,-77.7,176.1,-55.2,222.9,-85.2,176.1,-74.5,260.4,-61.1,0.4
118K1,1013.95,288,33,650-677,4,13.5,140.6,-32.3,151.3,-11.5,135.8,-52.4,151.3,-27,146.6,-58.3,0.4
118L2,1014.23,288,33,600-645,5,0.9,151.7,-46.4,165.9,-20.4,118.4,-64.7,165.9,-42.9,147.4,-75.7,0.4
118N1,1014.37,288,33,640-673,5,5.9,137.4,-43.9,155.1,-22.9,138.4,-59.4,155.1,-46.6,169.4,-68.1,0.4
118R2,1014.5,288,33,650-677,5,8.2,129.6,-48.3,152.7,-29.5,147.3,-60.3,152.7,-54.8,189.7,-67.2,0.4
119E,1016.84,282,34,645-673,5,5.7,167,-59,177.9,-26.7,90.8,-71.8,177.9,-51.5,173.3,-88.2,0.4
119F,1019.32,282,34,655-675,5,6.8,88.9,-64.6,147.4,-53.4,186.9,-62.7,147.4,-73.5,235.5,-55.3,0.4
119H,1021.52,282,34,650-665,4,3.9,88.6,-66.5,150.4,-54.3,188.6,-65.3,150.4,-74,238.3,-55.9,0.4
120B,1023.17,282,34,640-665,5,3.3,132.9,-58.4,159.3,-33.8,143,-66.9,159.3,-59.2,205.2,-71.6,0.4
121B1,1027.43,282,34,655-670,5,3,138.7,-26.6,146,-4.2,138,-46.1,146,-10.4,141.2,-48.4,0.4
121C,1027.57,282,34,620-680,5,12.4,136.2,-47.4,154.4,-23.4,139.8,-59.2,154.4,-47.3,171.4,-67.6,0.4
121D,1027.83,282,34,645-673,5,5.3,129.2,-26.2,138.3,-7.9,147.3,-41.8,138.3,-19.1,153.6,-45.5,0.4
