Sample,Depth,RStrike,Dip,Demagnetization,n,MAD,Dg,Ig,Ds,Is,Plong,Plat,D*,I*,Plon*,Plat*,f
33E,343.55,289,43,640-677,6,5.9,293,48.8,328.8,31.3,333.3,57.9,328.8,50.6,0.8,63.6,0.5
33G,344.63,289,43,660-677,5,7.7,286.8,20.7,301.9,16.4,343.8,31.3,301.9,30.5,352.1,35.4,0.5
33I,345.88,289,43,600-677,10,9.6,296.1,28.4,313.8,15.9,335.3,40.9,313.8,29.7,344.3,45.2,0.5
34B,349.86,289,43,640-660,5,4.9,302.1,39.4,325.7,20.2,327.5,51.6,325.7,36.4,341.5,57.2,0.5
34D,351.52,289,43,665-680,5,4.8,312.7,52,340.9,24.1,310.5,63.7,340.9,41.8,333.4,71.3,0.5
34F,353.26,289,43,640-665,5,1.9,328.5,42.2,343.5,9.8,297.3,58.7,343.5,19.1,302.2,62.9,0.5
35F,362.67,289,43,640-665,5,5.5,303.7,36.7,324.7,17.4,326.7,49.9,324.7,32.1,338,54.9,0.5
36B,365.02,289,43,645-665,5,5.6,305.4,69.6,353.8,38.2,293.1,77.9,353.8,57.6,46,82.1,0.5
36G,367.81,289,43,655-670,4,1.2,283.6,69.8,349.8,45.1,324.9,79.5,349.8,63.5,55.7,74.9,0.5
36H,369.02,289,43,500-680,15,14.3,298.1,46.5,329.2,27.1,329.1,56.7,329.2,45.7,351.6,62.9,0.5
36I,370.56,289,43,650-670,5,2.9,311.7,43.4,334.1,18.1,316.3,56.8,334.1,33.2,329.4,62.8,0.5
36K,371.63,289,43,500-660,9,13.4,339.7,78.6,9.9,37.8,223.2,75.9,9.9,57.2,136.9,80.2,0.5
37B,374.94,289,43,650-670,5,1.3,267.9,56.5,328.4,48.2,356.4,62.8,328.4,65.9,37.5,61.4,0.5
37D,375.65,289,43,650-670,5,3.1,299,46.4,329.6,26.6,328.2,56.9,329.6,45,350.2,63,0.5
37E,376.72,289,43,640-660,5,1.9,313.4,45.6,336.6,19,313.5,58.8,336.6,34.6,327.9,65.2,0.5
37G,378.22,289,43,650-670,5,2.7,283.8,31.9,308.7,26.1,345.1,39.8,308.7,44.4,0.2,45.2,0.5
37H,379.17,289,43,630-660,5,4.8,337.1,75.5,7.2,35.5,235.4,75.9,7.2,55,143.2,83.2,0.5
37J,382.03,289,43,620-655,5,4.6,330.5,77.8,7.3,38.2,231.3,77.5,7.3,57.6,126.9,81.5,0.5
38B,384.71,289,43,630-660,5,2,317.4,43,337.2,15.2,310.1,57.6,337.2,28.5,320.3,63.2,0.5
38C,385.52,289,43,655-673,5,6.6,255.1,56,325,55,10.6,60.9,325,70.7,47.7,56.5,0.5
39C,390.77,295,52,655-675,5,2.2,293.6,38.6,326.6,23.5,328.9,53.5,326.6,41,346.3,59.4,0.5
39E,392.23,295,52,655-680,6,11.3,241.8,58.6,348.1,58.7,34.5,78,348.1,73.1,71,62.3,0.5
39G,394.77,295,52,665-690,5,5.4,302.2,55.5,346,26.8,302.9,67.9,346,45.3,334,76.7,0.5
39H,396.83,295,52,660-680,5,8,332.7,53.4,356.2,11.9,272.8,63.6,356.2,22.9,274.9,69.4,0.5
39I,399.33,295,52,660-680,5,2.6,347.7,56.2,5,9.4,253.6,62.1,5,18.3,251.7,66.7,0.5
39K,399.8,295,52,660-680,5,4.8,320.6,62.7,358.3,23,269.1,69.7,358.3,40.3,274,80.7,0.5
39Q,405.22,295,52,660-677,4,11.1,297.7,37.8,327.7,20.4,325.6,53.2,327.7,36.6,340,58.9,0.5
40D,412.17,295,52,650-670,5,5.9,307.4,33.2,328.5,11.2,319,50.4,328.5,21.6,325.5,54.2,0.5
41B,416.58,295,52,660-677,5,2.1,329.3,45.5,349.2,7.3,286.1,59.7,349.2,14.4,288.6,63.2,0.5
41E,419.77,295,52,640-660,4,5.7,303.7,50,341.2,23.3,309.3,63.5,341.2,40.7,330.7,71.2,0.5
41F,422.37,295,52,645-665,5,2.6,300.7,55.3,345.3,27.5,305,67.9,345.3,46.2,338,76.4,0.5
41I,425.87,295,52,655-673,5,6.1,302.6,22.8,317.6,8.2,328,41.4,317.6,16.1,332.4,44,0.5
42A2,431.42,295,46,660-680,5,2.7,285.4,46.4,328,35.9,338.9,58.9,328,55.4,11.2,63.4,0.5
42B2,436.25,295,46,630-665,7,7.8,292.7,54,338.9,35.3,325.5,67.2,338.9,54.8,10.2,72.2,0.5
42C2,441.08,295,46,620-650,6,4.5,324.8,66.6,1.6,29.7,258.8,73.7,1.6,48.8,234.8,87.2,0.5
43B3,441.08,295,46,600-650,6,7.1,109.2,-56.8,161,-38.4,146.9,-70.1,161,-57.8,201.6,-73.3,0.5
43D1,441.36,295,46,620-645,5,9.3,95,-55,155,-45.2,166.6,-67.6,155,-63.6,215.5,-66.7,0.5
43D2,441.36,295,46,640-670,5,14.9,86.4,-36.9,128.4,-43.8,179.7,-44.8,128.4,-62.5,205.9,-48.4,0.5
43F3,441.69,295,46,500-630,5,10.3,122.6,-52.9,161.4,-29.8,134.8,-66.6,161.4,-48.9,170.7,-73.9,0.5
