2021-02-03 16:47:05: GH2-1b: AF  20 (Up): Red
2021-02-03 16:54:37: GH2-1b: AF  70 (Up): Red
2021-02-03 21:39:21: GH2-2b: AF  30 (Up): Red
2021-02-03 21:52:02: GH2-2b: AF  140 (Up): Red
2021-02-03 22:32:37: GH2-3b: AF  40 (Up): Red
2021-02-03 22:36:06: GH2-3b: AF  60 (Up): Red
2021-02-03 22:39:32: GH2-3b: AF  80 (Up): Red
2021-02-03 22:39:34: GH2-3b: AF  80 (Up): Red
2021-02-03 23:01:38: GH2-3b: AF  650 (Up): Red
2021-02-03 23:03:47: GH2-3b: AF  700 (Up): Red
2021-02-03 23:34:08: GH2-4b: AF  90 (Up): Red
2021-02-04 00:29:46: GH2-5b: AF  140 (Up): Red
2021-02-04 00:29:48: GH2-5b: AF  140 (Up): Red
2021-02-04 01:07:54: GH2-6b: AF  10 (Up): Red
2021-02-04 01:11:25: GH2-6b: AF  30 (Up): Red
2021-02-04 03:04:34: GH2-8b: AF  120 (Up): Red
2021-02-04 03:18:40: GH2-8b: AF  500 (Up): Red
