thickness,lithology,grain size,structure,note
3.2,basalt,igneous,,massive
3.9,basalt,igneous,,amygdaoidal
0.6,basalt,igneous,,
0.9,conglomerate,C,,
1.7,arkose,M,ripple,
0.6,cover,cover,,
1,arkose,M,,
0.7,cover,cover,,
3.4,arkose,F,,
0.2,arkose,M,trough x-bed,
3.4,arkose,F,,
1.5,cover,cover,,
1.6,cover,cover,,
3.6,sandstone,F,ripples,
2.9,sandstone,F,,interbedded sandstone and siltstone
8.9,sandstone,F,ripples,
1.1,sandstone,F,ripples,
2.5,sandstone,F,ripples; rip-ups,
0.7,tuff,igneous,,
2.4,sandstone,F,ripples; rip-ups,
0.2,sandstone,F,massive,
2.7,sandstone,F,ripples; rip-ups,interbedded sandstone and shale
3.2,sandstone,F,ripples; rip-ups,
4,siltstone,VF,,
10.5,siltstone,VF,ripples;rip-ups,85%-90% silt
10.3,siltstone,VF,trough x-bed,95% silt
8.2,siltstone,F,rip-ups,70-75% silt
0.03,tuff,igneous,,
8.3,siltstone,VF,ripples; trough x-bedding,70% silt
2.2,sandstone,M,x-bedding; rip-ups,
3.9,siltstone,F,ripples; trough x-bedding,50% silt
3.4,siltstone,VF,,
1.1,siltstone,F,,baked
5,basalt,igneous,,
